"study";"a1";"a2";"a3";"a4";"a5";"a6";"a7";"yop";"n1";"n2";"n";"g";"type";"design";"setting";"perpetrator";"dv";"id";"nnew";"effest.exp";"effestnew.exp";"ncnew";"ntnew";"d.o";"d.c";"vd.o";"vd.c";"vg.o";"vg.c"
"Darley & Latané";"Darley";"Latane";"";"";"";NA;NA;1968;6;13;19;-0.578;"lab";"exp";"emerg";"no";"combined";13;19;0.578;0.578;6;13;0.60509375;0.60509375;0.210503842090777;0.210503842090777;0.192074791090181;0.192074791090181
"Darley & Latané";"Darley";"Latane";"";"";"";NA;NA;1968;7;26;33;-1.165;"lab";"exp";"emerg";"no";"combined";13;33;1.165;1.165;7;26;1.194125;1.194125;0.121202502889376;0.121202502889376;0.1153622871047;0.1153622871047
"Darley et al.";"Darley";"Teger";"Lewis";"";"";NA;NA;1973;5;10;15;-1.859;"lab";"exp";"emerg";"no";"helping rate";13;15;1.859;1.859;5;10;1.9751875;1.9751875;0.266051576601609;0.266051576601609;0.23567198480973;0.23567198480973
"Darley et al.";"Darley";"Teger";"Lewis";"";"";NA;NA;1973;5;10;15;-0.421;"lab";"exp";"emerg";"no";"helping rate";13;15;0.421;0.421;5;10;0.4473125;0.4473125;0.266635051496172;0.266635051496172;0.236188834543322;0.236188834543322
"Fischer et al.";"Fischer";"Greitemeyer";"Pollozek";"Frey";"";NA;NA;2006;24;17;41;-1.497;"lab";"exp";"emerg";"yes";"helping rate";13;41;1.497;1.497301382;24;17;1.52654605263158;1.52685338296053;0.0975543786320915;0.0975543786320915;0.0938146249288592;0.0938146249288592
"Fischer et al.";"Fischer";"Greitemeyer";"Pollozek";"Frey";"";NA;NA;2006;18;25;43;0.339;"lab";"exp";"emerg";"yes";"combined";13;43;-0.339;-0.339;18;25;-0.34535625;-0.34535625;0.0930229767205951;0.0930229767205951;0.0896303287307477;0.0896303287307477
"Gaertner";"Gaertner";"";"";"";"";NA;NA;1975;10;10;20;-2.019;"lab";"exp";"emerg";"no";"helping rate";13;20;2.019;2.010044588;10;10;2.10807352941176;2.09872302570588;0.199778047887085;0.199778047887085;0.183252071698052;0.183252071698052
"Gaertner";"Gaertner";"";"";"";"";NA;NA;1975;10;10;20;-0.636;"lab";"exp";"emerg";"no";"helping rate";13;20;0.636;0.636;10;10;0.664058823529412;0.664058823529412;0.199977953724404;0.199977953724404;0.183435440988225;0.183435440988225
"Gaertner et al.";"Gaertner";"Dovidio";"Johnson";"";"";NA;NA;1982;22;21;43;-0.809;"lab";"exp";"emerg";"no";"latency";13;43;0.809;0.809;22;21;0.82416875;0.82416875;0.0930216663853263;0.0930216663853263;0.0896290661848152;0.0896290661848152
"Gertner & Dovidio";"Gaertner";"Dovidio";"";"";"";NA;NA;1977;16;16;32;-1.735;"lab";"exp";"emerg";"no";"helping rate";13;32;1.735;1.734523226;16;16;1.77987068965517;1.7793815852931;0.124975835210791;0.124975835210791;0.118753960779352;0.118753960779352
