"study";"a1";"a2";"a3";"a4";"a5";"a6";"a7";"yop";"n";"r";"design";"task";"time";"id";"nnew";"effest.exp";"effestnew.exp";"vr.o";"vr.c";"z.o";"vz.o";"z.c";"vz.c"
"DeShon et al. (1995)";"DeShon";"Chan";"Weissbein";"";"";NA;NA;1995;77;-0.27;"between";"visual";"yes";14;77;-0.27;-0.270759739;0.0113094001315789;0.0112993790287755;-0.2768638226551;0.0135135135135135;-0.277683483216774;0.0135135135135135
"Dickson et al. (2000)";"Dickson";"McLennan";"Omodei";"";"";NA;NA;2000;40;-0.37;"between";"visual";"yes";14;40;-0.37;-0.37493649;0.0191010669230769;0.0189386475466726;-0.388423099718296;0.027027027027027;-0.394154779684584;0.027027027027027
"Evans et al. (1983)a";"Evans";"Barston";"Pollard";"";"";NA;NA;1983;32;-0.08;"between";"nonvisual";"no";14;32;-0.08;-0.08;0.0318464825806452;0.0318464825806452;-0.0801713250375897;0.0344827586206897;-0.0801713250375897;0.0344827586206897
"Fleck & Weisberg (2004)";"Fleck";"Weisberg";"";"";"";NA;NA;2004;52;-0.05;"between";"visual";"yes";14;52;-0.05;-0.05;0.0195099264705882;0.0195099264705882;-0.0500417292784913;0.0204081632653061;-0.0500417292784913;0.0204081632653061
"Fox & Charness (2010)a";"Fox";"Charness";"";"";"";NA;NA;2010;30;-0.24;"between";"visual";"no";14;30;-0.24;-0.24;0.0306247503448276;0.0306247503448276;-0.244774112659353;0.037037037037037;-0.244774112659353;0.037037037037037
"Fox & Charness (2010)a";"Fox";"Charness";"";"";"";NA;NA;2010;31;0.03;"between";"nonvisual";"no";14;31;0.03;0.03;0.0332733603333333;0.0332733603333333;0.0300090048631265;0.0357142857142857;0.0300090048631265;0.0357142857142857
"Fox & Charness (2010)a";"Fox";"Charness";"";"";"";NA;NA;2010;30;0.42;"between";"visual";"no";14;30;0.42;0.417771089;0.02339024;0.0234964238537364;0.447692023527421;0.037037037037037;0.444988786744904;0.037037037037037
"Gagne & Smith (1962)a";"Gagne";"Smith";"";"";"";NA;NA;1962;14;0.62;"between";"visual";"no";14;14;0.62;0.62;0.0291510276923077;0.0291510276923077;0.725005087752999;0.0909090909090909;0.725005087752999;0.0909090909090909
"Gagne & Smith (1962)a";"Gagne";"Smith";"";"";"";NA;NA;1962;14;0.67;"between";"visual";"no";14;14;0.67;0.67;0.0233624007692308;0.0233624007692308;0.810743125475137;0.0909090909090909;0.810743125475137;0.0909090909090909
"Gilhooly et al. (1999)";"Gilhooly";"Phillips";"Wynn";"Logie";"Della Sala";NA;NA;1999;40;-0.11;"between";"visual";"no";14;40;-0.11;-0.11;0.0250242669230769;0.0250242669230769;-0.110446915790097;0.027027027027027;-0.110446915790097;0.027027027027027
"Gilhooly et al. (1999)";"Gilhooly";"Phillips";"Wynn";"Logie";"Della Sala";NA;NA;1999;40;-0.03;"between";"visual";"no";14;40;-0.03;-0.03;0.0255948925641026;0.0255948925641026;-0.0300090048631265;0.027027027027027;-0.0300090048631265;0.027027027027027
"Gilhooly et al. (2007)";"Gilhooly";"Fioratou";"Anthony";"Wynn";"";NA;NA;2007;104;0.05;"between";"visual";"yes";14;104;0.05;0.05;0.00966025485436893;0.00966025485436893;0.0500417292784913;0.0099009900990099;0.0500417292784913;0.0099009900990099
"Gilhooly et al. (2010)a";"Gilhooly";"Fioratou";"Henretty";"";"";NA;NA;2010;80;-0.15;"between";"visual";"yes";14;80;-0.15;-0.15;0.0120950158227848;0.0120950158227848;-0.151140435936467;0.012987012987013;-0.151140435936467;0.012987012987013
"Hamel & Elshout (2000)";"Hamel";"Elshout";"";"";"";NA;NA;2000;68;0.08;"between";"visual";"no";14;68;0.08;0.083070504;0.0147349397014925;0.0147200925747766;0.0801713250375897;0.0153846153846154;0.0832623808619739;0.0153846153846154
"Henry et al. (1989)";"Henry";"LeBreck";"Holzemer";"";"";NA;NA;1989;27;-0.11;"between";"nonvisual";"no";14;27;-0.11;-0.11;0.0375364003846154;0.0375364003846154;-0.110446915790097;0.0416666666666667;-0.110446915790097;0.0416666666666667
"Henry et al. (1989)";"Henry";"LeBreck";"Holzemer";"";"";NA;NA;1989;13;0.14;"between";"nonvisual";"yes";14;13;0.14;0.14;0.08009868;0.08009868;0.140925576070494;0.1;0.140925576070494;0.1
"Hertzum et al. (2009)";"Hertzum";"Hansen";"Anderson";"";"";NA;NA;2009;8;0.18;"within";"visual";"no";14;8;0.18;0.18;0.133749965714286;0.133749965714286;0.181982688600706;0.2;0.181982688600706;0.2
"Karahasanovic? et al. (2009)";"Karahasanovic";"Hinkel";"Sjoberg";"Thomas";"";NA;NA;2009;16;0.12;"between";"nonvisual";"no";14;16;0.12;0.163406417;0.0647604906666667;0.0631539776172818;0.120581028408444;0.0769230769230769;0.164884579272412;0.0769230769230769
"Karpf & Levine (1971)";"Karpf";"Levine";"";"";"";NA;NA;1971;36;-0.08;"within";"visual";"no";14;36;-0.08;-0.08;0.0282068845714286;0.0282068845714286;-0.0801713250375897;0.0303030303030303;-0.0801713250375897;0.0303030303030303
"Kellogg & Holley (1983)";"Kellogg";"Holley";"";"";"";NA;NA;1983;18;-0.19;"within";"visual";"no";14;18;-0.19;-0.19;0.05465313;0.05465313;-0.192337169219545;0.0666666666666667;-0.192337169219545;0.0666666666666667
"Kim (2002)";"Kim";"";"";"";"";NA;NA;2002;34;-0.42;"between";"visual";"no";14;34;-0.42;-0.42;0.0205550593939394;0.0205550593939394;-0.447692023527421;0.032258064516129;-0.447692023527421;0.032258064516129
"Kim (2002)";"Kim";"";"";"";"";NA;NA;2002;41;0.06;"between";"visual";"no";14;41;0.06;0.06;0.024820324;0.024820324;0.0600721559210317;0.0263157894736842;0.0600721559210317;0.0263157894736842
"Kim (2008)a";"Kim";"";"";"";"";NA;NA;2008;21;-0.22;"between";"visual";"no";14;21;-0.22;-0.22;0.045277128;0.045277128;-0.223656109021832;0.0555555555555556;-0.223656109021832;0.0555555555555556
"Kim (2008)a";"Kim";"";"";"";"";NA;NA;2008;30;0.34;"between";"visual";"no";14;30;0.34;0.34;0.0269711503448276;0.0269711503448276;0.354092528962243;0.037037037037037;0.354092528962243;0.037037037037037
"Knoblich & Rhenius (1995)";"Knoblich";"Rhenius";"";"";"";NA;NA;1995;37;-0.13;"between";"nonvisual";"no";14;37;-0.13;-0.13;0.0268468225;0.0268468225;-0.130739850028878;0.0294117647058824;-0.130739850028878;0.0294117647058824
"Laing & Kamhi (2002)";"Laing";"Kamhi";"";"";"";NA;NA;2002;20;0.22;"within";"nonvisual";"no";14;20;0.22;0.21821789;0.0476601347368421;0.0477383936133806;0.223656109021832;0.0588235294117647;0.221784126944766;0.0588235294117647
"Laing & Kamhi (2002)";"Laing";"Kamhi";"";"";"";NA;NA;2002;20;0.56;"within";"nonvisual";"no";14;20;0.56;0.560723176;0.0247971031578947;0.0247385784100988;0.632833186665638;0.0588235294117647;0.633887387126714;0.0588235294117647
"Leow & Morgan-Short (2004)";"Leow";"Morgan-Short";"";"";"";NA;NA;2004;77;0.17;"between";"nonvisual";"no";14;77;0.17;0.17;0.0124083580263158;0.0124083580263158;0.171666663500579;0.0135135135135135;0.171666663500579;0.0135135135135135
