study;a1;a2;a3;a4;a5;a6;yop;n;r;students;gender;selfassess;ability;test;z;zexp;nnew;znew;znewexp;vz;newvz
Furnham et al. (2005), Study 2 (1);Furnham;Moutafi;Chamorro-Premuzic;;NA;NA;2005;131;0.27;Yes;Mixed;Relative;General;Baddeley Reasoning Test;0.276863823;0.276863823;131;0.276863823;0.276863823;0.0078125;0.0078125
Furnham et al. (2005), Study 2 (2);Furnham;Moutafi;Chamorro-Premuzic;;NA;NA;2005;131;0.25;Yes;Mixed;Relative;General;Wonderlic Personell Test;0.255412812;0.255412812;131;0.255412812;0.255412812;0.0078125;0.0078125
Furnham et al. (2006), exp 1;Furnham;Zhang;Chamorro-Premuzic;;NA;NA;2006;64;0.29;Yes;Mixed;Relative;General;Standard Progressive Matrices;0.298566264;0.298566264;64;0.298566264;0.298566264;0.016393443;0.016393443
Furnham et al. (2006), exp 2;Furnham;Zhang;Chamorro-Premuzic;;NA;NA;2006;64;0.47;Yes;Mixed;Relative;General;Wonderlic Personnel Test;0.510070337;0.510070337;64;0.510070337;0.510070337;0.016393443;0.016393443
Furnham et al. (2006), exp 3;Furnham;Zhang;Chamorro-Premuzic;;NA;NA;2006;64;0.32;Yes;Mixed;Relative;General;Baddeley Reasoning Test;0.331647109;0.331647109;64;0.331647109;0.331647109;0.016393443;0.016393443
Gabriel et al. (1994), exp 1;Gabriel;Critelli;Ee;;NA;NA;1994;62;0.27;Yes;Male;Relative;General;Shipley Institute of Living Scale;0.276863823;0.276863823;62;0.276863823;0.276863823;0.016949153;0.016949153
Gabriel et al. (1994), exp 2;Gabriel;Critelli;Ee;;NA;NA;1994;84;0.3;Yes;Female;Relative;General;Shipley Institute of Living Scale;0.309519604;0.309519604;84;0.309519604;0.309519604;0.012345679;0.012345679
Hodgson & Cramer (1977), exp 1;Hodgson;Cramer;;;NA;NA;1977;34;0.71;No;Mixed;Absolute;General;Differential Aptitude Test;0.887183863;0.887183863;34;0.887183863;0.887183863;0.032258065;0.032258065
Hodgson & Cramer (1977), exp 2;Hodgson;Cramer;;;NA;NA;1977;40;0.56;No;Female;Absolute;General;Differential Aptitude Test;0.632833187;0.632833187;40;0.632833187;0.632833187;0.027027027;0.027027027
Hodgson & Cramer (1977), exp 3;Hodgson;Cramer;;;NA;NA;1977;34;0.15;No;Male;Absolute;Numerical;Differential Aptitude Test;0.151140436;0.151140436;34;0.151140436;0.151140436;0.032258065;0.032258065
Hodgson & Cramer (1977), exp 4;Hodgson;Cramer;;;NA;NA;1977;40;-0.25;No;Female;Absolute;Numerical;Differential Aptitude Test;-0.255412812;-0.255412812;40;-0.255412812;-0.255412812;0.027027027;0.027027027
Hodgson & Cramer (1977), exp 5;Hodgson;Cramer;;;NA;NA;1977;34;-0.06;No;Male;Absolute;Other;Differential Aptitude Test;-0.060072156;-0.060072156;34;-0.060072156;-0.060072156;0.032258065;0.032258065
Hodgson & Cramer (1977), exp 6;Hodgson;Cramer;;;NA;NA;1977;40;0.27;No;Female;Absolute;Other;Differential Aptitude Test;0.276863823;0.276863823;40;0.276863823;0.276863823;0.027027027;0.027027027
Holling & Preckel (2005);Holling;Preckel;;;NA;NA;2005;88;0.46;No;Mixed;Mixed;General;IST 70;0.497311288;0.497311288;88;0.497311288;0.497311288;0.011764706;0.011764706
K. G. Bailey & Gibby (1971), exp 1;Bailey;Gibby;;;NA;NA;1971;112;0.1;No;Mixed;Relative;General;Otis Quick-Scoring Test;0.100335348;0.100335348;112;0.100335348;0.100335348;0.009174312;0.009174312
K. G. Bailey & Gibby (1971), exp 2;Bailey;Gibby;;;NA;NA;1971;124;0.46;No;Mixed;Relative;General;Otis Quick-Scoring Test;0.497311288;0.497311288;124;0.497311288;0.497311288;0.008264463;0.008264463
K. G. Bailey & Lazar (1976), exp 1;Bailey;Gibby;;;NA;NA;1976;20;0.48;Yes;Female;Reference group;General;Concept Mastery Test;0.522984278;0.522984278;20;0.522984278;0.522984278;0.058823529;0.058823529
K. G. Bailey & Lazar (1976), exp 2;Bailey;Gibby;;;NA;NA;1976;20;0.53;Yes;Male;Reference group;General;Concept Mastery Test;0.59014516;0.59014516;20;0.59014516;0.59014516;0.058823529;0.058823529
Kornilova et al. (2009);Kornilova;Kornilov;Chumakova;;NA;NA;2009;184;0.23;Yes;Mixed;Reference;General;IST 70;0.234189467;0.234189467;184;0.234189467;0.234189467;0.005524862;0.005524862
Paulhus et al. (1998), exp 1;Paulhus;Lysy;Yik;;NA;NA;1998;174;0.2;Yes;Mixed;Absolute;General;Wonderlic Personnel Test;0.202732554;0.202732554;174;0.202732554;0.202732554;0.005847953;0.005847953
Paulhus et al. (1998), exp 2;Paulhus;Lysy;Yik;;NA;NA;1998;174;0.24;Yes;Mixed;Absolute;General;Wonderlic Personnel Test;0.244774113;0.244774113;174;0.244774113;0.244774113;0.005847953;0.005847953
Paulhus et al. (1998), exp 3;Paulhus;Lysy;Yik;;NA;NA;1998;241;0.23;Yes;Mixed;Absolute;General;Wonderlic Personnel Test;0.234189467;0.234189467;241;0.234189467;0.234189467;0.004201681;0.004201681
Paulhus et al. (1998), exp 4;Paulhus;Lysy;Yik;;NA;NA;1998;241;0.26;Yes;Mixed;Absolute;General;Wonderlic Personnel Test;0.266108407;0.266108407;241;0.266108407;0.266108407;0.004201681;0.004201681
Proyer & Ruch (2009), exp 1;Proyer;Ruch;;;NA;NA;2009;167;0.19;No;Mixed;Absolute;Verbal;IST 2000-R;0.192337169;0.192337169;167;0.192337169;0.192337169;0.006097561;0.006097561
Proyer & Ruch (2009), exp 2;Proyer;Ruch;;;NA;NA;2009;167;0.5;No;Mixed;Absolute;Numerical;IST 2000-R;0.549306144;0.549306144;167;0.549306144;0.549306144;0.006097561;0.006097561
Proyer & Ruch (2009), exp 3;Proyer;Ruch;;;NA;NA;2009;167;0.16;No;Mixed;Absolute;Spatial;IST 2000-R;0.161386696;0.161386696;167;0.161386696;0.161386696;0.006097561;0.006756757
