study;a1;a2;a3;a4;a5;a6;a7;yop;n;r;z;zexp;nnew;znew;znewexp;vz;newvz
Lewis;Lewis;;;;;;;1997;85;0.24;0.244774113;0.244774113;85;0.244774113;0.244774113;0.012195122;
Lopez;Lopez;;;;;;;2005;73;0.41;0.435611223;0.435611223;73;0.435611223;0.435611223;0.014285714;
Lorendo-Hernandez & Ouellete;Lorendo-Hernandez;Ouellette;;;;;;1998;206;0.46;0.497311288;0.497311288;203;0.497311288;0.497311288;0.004926108;
McCubbin;McCubbin;;;;;;;2003;243;0.19;0.192337169;0.192337169;243;0.192337169;0.192337169;0.004166667;
McDuffie;McDuffie;;;;;;;1997;188;0.28;0.287682072;0.287682072;188;0.287682072;0.287682072;0.005405405;
McKnight;McKnight;;;;;;;2003;105;0.11;0.110446916;0.110446916;105;0.110446916;0.110446916;0.009803922;
McMahon & Watts;McMahon;Watts;;;;;;2002;117;0.22;0.223656109;0.223656109;117;0.223656109;0.223656109;0.00877193;
Mohanty et al;Mohanty;Keokse;Sales;;;;;2006;78;0.33;0.342828254;0.342828254;78;0.342828254;0.342828254;0.013333333;
Mukoyama;Mukoyama;;;;;;;1998;86;0.36;0.376885901;0.376885901;86;0.376885901;0.376885901;0.012048193;
Nagara;Nagara;;;;;;;2005;253;0.02;0.020002667;0.020002667;253;0.020002667;0.020002667;0.004;
Negy et al.;Negy;Shreve;Jensen;Uddin;;;;2003;124;0.17;0.171666664;0.171666664;124;0.171666664;0.171666664;0.008264463;
Newman et al.;Newman;Sontag;Salvato;;;;;2006;134;0.15;0.151140436;0.151140436;134;0.151140436;0.151140436;0.007633588;
Newsom;Newsom;;;;;;;2004;61;0.2;0.202732554;0.202732554;61;0.202732554;0.202732554;0.017241379;
Northwood;Northwood;;;;;;;1996;40;0.2;0.202732554;0.202732554;40;0.202732554;0.202732554;0.027027027;
ODonnel;ODonnel;Odonnell;Wadlaw;Stueve;;;;2004;879;0.03;0.030009005;0.030009005;879;0.030009005;0.030009005;0.001141553;
Orellana;Orellana;;;;;;;2004;201;0;0;0;201;0;0;0.005050505;
