"study";"a1";"a2";"a3";"a4";"a5";"a6";"a7";"yop";"n";"r";"design";"pub";"race";"mode";"lab";"partner";"struct";"race.1";"id";"nnew";"effest.exp";"effestnew.exp";"vr.o";"vr.c"
"Mendes et al. exp 2";"Mendes";"Major";"McCoy";"Blascovich";"";NA;NA;2008;62;-0.02;"b";"p";"majW";"aud";"l";"ConfP";0;"y";28;62;-0.02;-0.02;0.0163803304918033;0.0163803304918033
"Norton et al. (2006)";"Norton";"Sommers";"Apfelbaum";"Pura";"Ariely";NA;NA;2006;30;0.22;"b";"p";"majW";"f2f";"l";"ConfP";1;"y";28;30;0.22;0.22;0.0312256055172414;0.0312256055172414
"Norton et al. (2010) exp 1";"Norton";"Dunn";"Carney";"Ariely";"";NA;NA;2010;44;-0.4;"b";"u";"majW";"f2f";"l";"ConfP";0;"y";28;44;-0.4;-0.392762831;0.0164093023255814;0.0166342251094443
"Norton et al. (2010) exp 2";"Norton";"Dunn";"Carney";"Ariely";"";NA;NA;2010;76;-0.36;"b";"u";"majW";"f2f";"l";"ConfP";0;"y";28;76;-0.36;-0.341860052;0.0101012821333333;0.0103989547747358
"Richeson & Shelton";"Richeson";"Shelton";"";"";"";NA;NA;2003;50;0.44;"b";"p";"majW";"f2f";"l";"Exptr";0;"y";28;50;0.44;0.44;0.01327104;0.01327104
"Sanchez-Burks et al. (2009)";"Sanchez-Burks";"Bartel";"Blount";"";"";NA;NA;2009;45;0.06;"b";"p";"all";"f2f";"f";"ConfO";0;"n";28;45;0.06;0.06;0.0225639309090909;0.0225639309090909
"Schreer et al. (2009)";"Schreer";"Smith";"Thomas";"";"";NA;NA;2009;33;0.35;"b";"p";"majW";"f2f";"f";"ConfO";1;"n";28;33;0.35;0.35;0.0240626953125;0.0240626953125
"Simpson & Erickson exp 1";"Simpson";"Erickson";"";"";"";NA;NA;1983;16;-0.05;"b";"p";"minB";"f2f";"f";"Other";1;"n";28;16;-0.05;-0.137590193;0.06633375;0.0641664175105982
"Simpson & Erickson exp 2";"Simpson";"Erickson";"";"";"";NA;NA;1983;16;-0.14;"b";"p";"majW";"f2f";"f";"Other";1;"n";28;16;-0.14;-0.14;0.064078944;0.064078944
"Townsend et al.";"Townsend";"Sawyer";"Major";"Mendes";"";NA;NA;2010;135;-0.21;"b";"u";"minL";"f2f";"l";"ConfO";0;"n";28;135;-0.21;-0.21;0.00681899111940298;0.00681899111940298
"Trawalter & Richeson ";"Trawalter";"Richeson";"";"";"";NA;NA;2008;36;0.41;"b";"p";"majW";"f2f";"l";"NaiveP";0;"y";28;36;0.41;0.257636084;0.0197730745714286;0.0249043747576503
"Vorauer & Turpie";"Vorauer";"Kumhyr";"";"";"";NA;NA;2004;84;0.22;"b";"p";"majW";"vid";"l";"ConfP";0;"n";28;84;0.22;0.22;0.0109101513253012;0.0109101513253012
"Winslow ";"Winslow";"";"";"";"";NA;NA;1998;80;0.25;"b";"u";"majW";"f2f";"l";"ConfP";0;"y";28;80;0.25;0.25;0.0111253955696203;0.0111253955696203
"Word et al.";"Word";"Zanna";"Cooper";"";"";NA;NA;1974;14;0.61;"w";"p";"majW";"f2f";"l";"ConfO";0;"n";28;14;0.61;0.627257776;0.03032757;0.0283000070063442
