"study";"a1";"a2";"a3";"a4";"a5";"a6";"a7";"g";"n";"yop";"domain";"edu";"comparison";"pacing";"redundancy";"id";"nnew";"effest.exp";"effestnew.exp";"d.o";"d.c";"vd.o";"vd.c";"vg.o";"vg.c"
"Craig et al. (2004), exp 1 (1)";"Craig";"Driscoll";"Gholson";"";"";NA;NA;0.54;30;2004;"computer lit";"PS";"Audio";"SP";"h";1;30;0.54;0.54;0.555;0.555;0.133330291180523;0.133330291180523;0.126220640883826;0.126220640883826
"Craig et al. (2004), exp 1 (2)";"Craig";"Driscoll";"Gholson";"";"";NA;NA;0.29;30;2004;"computer lit";"PS";"Audio";"SP";"h";1;30;0.29;0.29;0.298055555555556;0.298055555555556;0.13333245593551;0.13333245593551;0.126222690206297;0.126222690206297
"Craig et al. (2004), exp 1 (3)";"Craig";"Driscoll";"Gholson";"";"";NA;NA;-0.29;30;2004;"computer lit";"PS";"Audio";"LP";"h";1;30;-0.29;-0.289196459;-0.298055555555556;-0.297229693972222;0.13333245593551;0.133332460790984;0.126222690206297;0.12622269480286
"Craig et al. (2004), exp 1 (4)";"Craig";"Driscoll";"Gholson";"";"";NA;NA;0.16;30;2004;"computer lit";"PS";"Audio";"LP";"h";1;30;0.16;0.16;0.164444444444444;0.164444444444444;0.133333066252631;0.133333066252631;0.126223267979116;0.126223267979116
"Diao & Sweller (2007)";"Diao";"Sweller";"";"";"";NA;NA;-0.5;57;2007;"reading";"PS";"Text";"SP";"h";1;57;-0.5;-0.579540368;-0.506944444444444;-0.587589539777778;0.0701752438318591;0.0701751769366601;0.0682658029694797;0.0682657378944729
"Diao et al. (2007)";"Diao";"Chandler";"Sweller";"";"";NA;NA;0.35;159;2007;"reading";"PS";"Audio";"SP";"h";1;159;0.35;0.364586028;0.351682692307692;0.366338845442308;0.0251572311562867;0.0251572310245645;0.024917068032911;0.0249170679024463
"Jamet & LeBohec (2007)";"Jamet";"Le Bohec";"";"";"";NA;NA;-0.97;90;2007;"memory model";"PS";"Audio";"SP";"h";1;90;-0.97;-0.97;-0.978362068965517;-0.978362068965517;0.0444443277317696;0.0444443277317696;0.0436878423521581;0.0436878423521581
"Kalyuga et al. (1999), exp 1 (1)";"Kalyuga";"Chandler";"Sweller";"";"";NA;NA;-0.22;23;1999;"mechanical";"PS";"Text";"LP";"h";1;23;-0.22;-0.183596325;-0.22825;-0.1904811871875;0.173911554129199;0.173912006235933;0.161566837919419;0.161567257934384
"Kalyuga et al. (1999), exp 1 (2)";"Kalyuga";"Chandler";"Sweller";"";"";NA;NA;-1.29;23;1999;"mechanical";"PS";"Audio";"LP";"h";1;23;-1.29;-1.292697196;-1.338375;-1.34117334085;0.173861850968958;0.173861636736829;0.161520662824987;0.161520463799638
"Kalyuga et al. (2000), exp 1";"Kalyuga";"Chandler";"Sweller";"";"";NA;NA;-0.41;44;2000;"mechanical";"PS";"Text";"LP";"h";1;44;-0.41;-0.41;-0.4175;-0.4175;0.0909087188683819;0.0909087188683819;0.0876718743118792;0.0876718743118792
"Kalyuga et al. (2004), exp 3";"Kalyuga";"Chandler";"Sweller";"";"";NA;NA;-1.09;21;2004;"mechanical";"PS";"Audio";"SP";"h";1;21;-1.09;-1.09;-1.13541666666667;-1.13541666666667;0.190423175027255;0.190423175027255;0.175493998105118;0.175493998105118
"Koroghlanian & Klein (2004)";"Koroghlanian";"Klein";"";"";"";NA;NA;-0.15;103;2004;"biology";"8 to 12";"Text";"LP";"l";1;103;-0.15;-0.15;-0.151125;-0.151125;0.0388349498329549;0.0388349498329549;0.0382589140581667;0.0382589140581667
"Koroghlanian & Sullivan (2000)";"Koroghlanian";"Sullivan";"";"";"";NA;NA;-0.1;134;2000;"computer lit";"PS";"Text";"LP";"h";1;134;-0.1;-0.1;-0.100572519083969;-0.100572519083969;0.0298507460176823;0.0298507460176823;0.0295118566608137;0.0295118566608137
"Lai (2000) (1)";"Lai";"";"";"";"";NA;NA;-0.05;126;2000;"computer lit";"PS";"Text";"SP";"h";1;126;-0.05;-0.05;-0.0503048780487805;-0.0503048780487805;0.031746031665711;0.031746031665711;0.0313623973436533;0.0313623973436533
"Lai (2000) (2)";"Lai";"";"";"";"";NA;NA;0.56;127;2000;"computer lit";"PS";"Text";"SP";"h";1;127;0.56;0.56;0.563387096774194;0.563387096774194;0.0314960532312508;0.0314960532312508;0.0311184815793486;0.0311184815793486
"Leahy et al. (2003)";"Leahy";"Chandler";"Sweller";"";"";NA;NA;-0.94;30;2003;"meteorology";"4 to 7";"Text";"SP";"h";1;30;-0.94;-0.945089284;-0.966111111111111;-0.971341764111111;0.133324115494799;0.133324015418405;0.12621479450786;0.126214699767899
"LeBohec & Jamet (2008)";"Le Bohec";"Jamet";"";"";"";NA;NA;-0.14;123;2008;"accounting";"PS";"Audio";"SP";"m";1;123;-0.14;-0.139204841;-0.140875;-0.14007487125625;0.0325203245096068;0.0325203245174639;0.0321175999168988;0.0321175999246586
"Linebarger (2001)";"Linebarger";"";"";"";"";NA;NA;0.32;76;2001;"reading lit";"K-3";"Audio";"SP";"h";1;76;0.32;0.32;0.323287671232877;0.323287671232877;0.0526315538854855;0.0526315538854855;0.051566524682471;0.051566524682471
"Markham (1999) (1)";"Markham";"";"";"";"";NA;NA;0.71;59;1999;"social studies";"PS";"Audio";"SP";"h";1;59;0.71;0.713305917;0.719508928571429;0.722859121245536;0.0677962683851783;0.0677962651949378;0.0660161377572766;0.0660161346508025
"Markham (1999) (2)";"Markham";"";"";"";"";NA;NA;1.03;59;1999;"biology";"PS";"Audio";"SP";"h";1;59;1.03;1.026142771;1.04379464285714;1.03988575454018;0.0677958908737985;0.0677958962510101;0.0660157701582355;0.0660157753942573
"Mayer & Johnson (2008), exp 1";"Mayer";"Johnson";"";"";"";NA;NA;0.25;90;2008;"meteorology";"PS";"Text";"SP";"l";1;90;0.25;0.25;0.252155172413793;0.252155172413793;0.044444436691697;0.044444436691697;0.0436879494574823;0.0436879494574823
"Mayer & Johnson (2008), exp 2";"Mayer";"Johnson";"";"";"";NA;NA;0.3;62;2008;"meteorology";"PS";"Text";"SP";"l";1;62;0.3;0.269932184;0.303813559322034;0.273363525322034;0.0645160790590537;0.0645160885742879;0.0629065937093723;0.0629066029872296
"Mayer et al. (2001), exp 1 (1)";"Mayer";"Heiser";"Lonn";"";"";NA;NA;-0.69;41;2001;"meteorology";"PS";"Text";"SP";"m";1;41;-0.69;-0.686986555;-0.703618421052632;-0.700545500164474;0.0975595740141648;0.097559586229667;0.0938196211456093;0.0938196328928294
"Mayer et al. (2001), exp 1 (2)";"Mayer";"Heiser";"Lonn";"";"";NA;NA;-0.43;37;2001;"meteorology";"PS";"Audio";"SP";"l";1;37;-0.43;-0.43;-0.439485294117647;-0.439485294117647;0.108107283650227;0.108107283650227;0.103491140127043;0.103491140127043
"Mayer et al. (2001), exp 2";"Mayer";"Heiser";"Lonn";"";"";NA;NA;-0.89;109;2001;"mechanical";"PS";"Audio";"SP";"l";1;109;-0.89;-0.89;-0.896297169811321;-0.896297169811321;0.0366972021774854;0.0366972021774854;0.036183362046957;0.036183362046957
"McNeill (2004) (1)";"McNeill";"";"";"";"";NA;NA;0.45;37;2004;"history";"PS";"Audio";"LP";"h";1;37;0.45;0.416932736;0.459926470588235;0.426129781647059;0.108107205173551;0.108107332997373;0.103491065001294;0.103491187367083
"McNeill (2004) (2)";"McNeill";"";"";"";"";NA;NA;0.44;37;2004;"history";"PS";"Text";"LP";"h";1;37;0.44;0.44;0.449705882352941;0.449705882352941;0.108107244857765;0.108107244857765;0.103491102991006;0.103491102991006
"Montali & Lewandowski (1996) (1)";"Montali";"Lewandowski";"";"";"";NA;NA;0.34;12;1996;"reading";"8 to 9";"Text";"LP";"h";1;12;0.34;0.34;0.368333333333333;0.368333333333333;0.333280999944321;0.333280999944321;0.283979076875635;0.283979076875635
"Montali & Lewandowski (1996) (2)";"Montali";"Lewandowski";"";"";"";NA;NA;0.74;12;1996;"reading";"8 to 9";"Audio";"LP";"h";1;12;0.74;0.74;0.801666666666667;0.801666666666667;0.333085574165623;0.333085574165623;0.283812560235797;0.283812560235797
"Montali & Lewandowski (1996) (3)";"Montali";"Lewandowski";"";"";"";NA;NA;0.72;12;1996;"reading";"8 to 9";"Text";"LP";"h";1;12;0.72;0.72;0.78;0.78;0.333098776278371;0.333098776278371;0.283823809373286;0.283823809373286
"Montali & Lewandowski (1996) (4)";"Montali";"Lewandowski";"";"";"";NA;NA;0.9;12;1996;"reading";"8 to 9";"Audio";"LP";"h";1;12;0.9;0.9;0.975;0.975;0.332966982941945;0.332966982941945;0.283711512092545;0.283711512092545
"Moreno & Mayer (2002a), exp 2 (1)";"Moreno";"Mayer";"";"";"";NA;NA;0.54;28;2002;"botany";"PS";"Text";"LP";"h";1;28;0.54;0.440850496;0.5562;0.45407601088;0.142853116543615;0.142854459324884;0.134652763261019;0.13465402896115
"Moreno & Mayer (2002a), exp 2 (2)";"Moreno";"Mayer";"";"";"";NA;NA;-0.15;28;2002;"botany";"PS";"Audio";"LP";"h";1;28;-0.15;-0.15;-0.1545;-0.1545;0.142856832176722;0.142856832176722;0.134656265601586;0.134656265601586
"Moreno & Mayer (2002b), exp 1 (1)";"Moreno";"Mayer";"";"";"";NA;NA;0.8;38;2002;"meteorology";"PS";"Audio";"SP";"h";1;38;0.8;0.8;0.817142857142857;0.817142857142857;0.105260596119587;0.105260596119587;0.10089039483319;0.10089039483319
"Moreno & Mayer (2002b), exp 1 (2)";"Moreno";"Mayer";"";"";"";NA;NA;0.69;36;2002;"meteorology";"PS";"Audio";"SP";"h";1;36;0.69;0.69;0.705681818181818;0.705681818181818;0.111108739253743;0.111108739253743;0.1062254415779;0.1062254415779
"Moreno & Mayer (2002b), exp 2 (1)";"Moreno";"Mayer";"";"";"";NA;NA;-0.85;34;2002;"meteorology";"PS";"Audio";"SP";"h";1;34;-0.85;-0.85;-0.870564516129032;-0.870564516129032;0.117642521920535;0.117642521920535;0.112150252157613;0.112150252157613
"Moreno & Mayer (2002b), exp 2 (2)";"Moreno";"Mayer";"";"";"";NA;NA;0.35;35;2002;"meteorology";"PS";"Audio";"SP";"h";1;35;0.35;0.35;0.358203125;0.358203125;0.114285030257602;0.114285030257602;0.109110537599239;0.109110537599239
"Moreno & Mayer (2002b), exp 3 (1)";"Moreno";"Mayer";"";"";"";NA;NA;1.43;35;2002;"meteorology";"PS";"Audio";"SP";"h";1;35;1.43;1.43;1.463515625;1.463515625;0.114274296834957;0.114274296834957;0.10910029015465;0.10910029015465
"Moreno & Mayer (2002b), exp 3 (2)";"Moreno";"Mayer";"";"";"";NA;NA;1.27;36;2002;"meteorology";"PS";"Audio";"SP";"h";1;36;1.27;1.85510942;1.29886363636364;1.89727099772727;0.111103076299583;0.1110939687077;0.10622002751407;0.106211320206473
"Neuman & Koskinen (1992)";"Neuman";"Koskinen";"";"";"";NA;NA;0.26;69;1992;"science";"7 to 8";"Captioned text";"SP";"h";1;69;0.26;0.26;0.262954545454545;0.262954545454545;0.0579709900891026;0.0579709900891026;0.0566755898560801;0.0566755898560801
"Olson & Wise (1992)";"Olson";"Wise";"";"";"";NA;NA;0.75;90;1992;"reading lit";"2 to 6";"Text";"LP";"l";1;90;0.75;0.754294549;0.756465517241379;0.760797088215517;0.0444443746698149;0.0444443738684603;0.0436878884912725;0.0436878877035577
"Rehaag & Szabo (1995)";"Rehaag";"Szabo";"";"";"";NA;NA;-0.01;82;1995;"mathematics";"10";"Text";"LP";"h";1;82;-0.01;-0.009298829;-0.0100949367088608;-0.0093871090221519;0.0487804877868461;0.0487804877892862;0.0478673007187754;0.0478673007211698
"Reitsma (1988)";"Reitsma";"";"";"";"";NA;NA;0.25;37;1988;"reading";"1 to 2";"Guided reading";"SP";"h";1;37;0.25;0.284435771;0.255514705882353;0.290710089477941;0.108107829422994;0.108107747361837;0.103491662595502;0.103491584038328
"Ritzhaupt et al. (2008)";"Ritzhaupt";"Gomes";"Barron";"";"";NA;NA;1.85;183;2008;"computer lit";"PS";"Audio";"SP";"l";1;183;1.85;1.94834554;1.85770833333333;1.95646364641667;0.0218578988799803;0.0218578961931184;0.0216768818630338;0.0216768791984233
"Rockwell & Singleton (2007)";"Rockwell";"Singleton";"";"";"";NA;NA;-0.19;132;2007;"history";"PS";"Text";"LP";"h";1;132;-0.19;-0.19;-0.191104651162791;-0.191104651162791;0.0303030293406721;0.0303030293406721;0.029953717799273;0.029953717799273
"Severin (1967) (1)";"Severin";"";"";"";"";NA;NA;0.41;62;1967;"nature";"7";"Audio";"SP";"h";1;62;0.41;0.41;0.41521186440678;0.41521186440678;0.0645160356934802;0.0645160356934802;0.0629065514256416;0.0629065514256416
"Severin (1967) (2)";"Severin";"";"";"";"";NA;NA;0.07;67;1967;"nature";"7";"Text";"SP";"h";1;67;0.07;0.07;0.0708203125;0.0708203125;0.0597014905461522;0.0597014905461522;0.0583264543526875;0.0583264543526875
