study;a1;a2;a3;a4;a5;a6;yop;n;r;design;task;time;z;zexp;nnew;znew;znewexp;vz;newvz
Rossomondo (2007);Rossomondo;;;;;NA;2007;83;-0.12;between;nonvisual;yes;-0.120581028;-0.120581028;83;-0.120581028;-0.120581028;0.0125;
Rossomondo (2007);Rossomondo;;;;;NA;2007;78;0.07;between;nonvisual;yes;0.070114671;0.070114671;78;0.070114671;0.070114671;0.013333333;
Sachs & Polio (2007);Sachs;Polio;;;;NA;2007;15;-0.51;within;nonvisual;yes;-0.562729769;-0.562729769;15;-2.148862386;-2.148862386;0.083333333;
Sachs & Polio (2007);Sachs;Polio;;;;NA;2007;27;-0.06;between;nonvisual;yes;-0.060072156;-0.060072156;27;-0.060072156;-0.060072156;0.041666667;
Sanz et al. (2009);Sanz;Link;Lado;Bowden;Stafford;NA;2009;24;0.03;between;nonvisual;no;0.030009005;0.030009005;24;0.030009005;0.030009005;0.047619048;
Sanz et al. (2009);Sanz;Link;Lado;Bowden;Stafford;NA;2009;24;0.41;between;nonvisual;no;0.435611223;0.435611223;24;1.381774398;1.381774398;0.047619048;
Schooler et al. (1993);Schooler;Ohlsson;Brooks;;;NA;1993;80;-0.38;between;visual;yes;-0.40005965;-0.40005965;80;-0.385388944;-0.385388944;0.012987013;
Schweiger (1983);Schweiger;;;;;NA;1983;40;0.05;between;nonvisual;no;0.050041729;0.050041729;40;0.004858364;0.004858364;0.027027027;
Short, Evans, et al. (1991);Short;Evans;Friebert;Schatschneider;;NA;1991;26;0.13;between;visual;no;0.13073985;0.13073985;26;0.13073985;0.13073985;0.043478261;
Short, Evans, et al. (1991);Short;Evans;Friebert;Schatschneider;;NA;1991;24;0.17;between;visual;no;0.171666664;0.171666664;24;0.17072822;0.17072822;0.047619048;
Short, Evans, et al. (1991);Short;Evans;Friebert;Schatschneider;;NA;1991;28;0.22;between;visual;no;0.223656109;0.223656109;28;0.223656109;0.223656109;0.04;
Short, Evans, et al. (1991);Short;Evans;Friebert;Schatschneider;;NA;1991;26;0.34;between;visual;no;0.354092529;0.354092529;26;0.354092529;0.354092529;0.043478261;
Short, Evans, et al. (1991);Short;Evans;Friebert;Schatschneider;;NA;1991;26;0.57;between;visual;no;0.647522845;0.647522845;26;0.647522845;0.647522845;0.043478261;
Stinessen (1985)a;Stinessen;;;;;NA;1985;40;0.49;between;visual;no;0.536060337;0.536060337;40;0.536060337;0.536060337;0.027027027;
Van den Haak et al. (2003);Van den Haak;de Jong;Schellens;;;NA;2003;40;-0.33;between;nonvisual;no;-0.342828254;-0.342828254;40;-0.343221555;-0.343221555;0.027027027;
Van den Haak et al. (2004);Van den Haak;de Jong;Schellens;;;NA;2004;40;-0.06;between;nonvisual;no;-0.060072156;-0.060072156;40;-0.060072156;-0.060072156;0.027027027;
Williams & Davids (1997);Williams;Davis;;;;NA;1997;20;-0.13;within;visual;no;-0.13073985;-0.13073985;20;-0.130806955;-0.130806955;0.058823529;
Williams & Davids (1997);Williams;Davis;;;;NA;1997;24;0.07;within;visual;no;0.070114671;0.070114671;24;0.070114671;0.070114671;0.047619048;
Wulfert et al. (1994);Wulfert;Greenway;Dougher;;;NA;1994;13;-0.02;between;visual;no;-0.020002667;-0.020002667;13;-0.020002667;-0.020002667;0.1;
