study;a1;a2;a3;a4;a5;a6;a7;yop;n1;n2;d;n;scale;item;domain;age;ethnicity;r;z;zexp;nnew;znew;znewexp;vz;newvz
Sorek & Ceobanu (2009), exp12;Sorek;Ceobanu;;;;;;2009;426;456;-0.11;882;State;3;6;4;2;-0.05488532;-0.054940532;-0.054940532;882;-0.054940532;-0.054940532;0.001137656;
Sorek & Ceobanu (2009), exp13;Sorek;Ceobanu;;;;;;2009;436;653;0.14;1089;State;3;6;4;2;0.068435369;0.068542507;0.068542507;1089;0.068542507;0.068542507;0.00092081;
Sorek & Ceobanu (2009), exp14;Sorek;Ceobanu;;;;;;2009;437;529;0.03;966;State;3;6;4;2;0.014930154;0.014931263;0.014931263;966;0.014931263;0.014931263;0.001038422;
Sorek & Ceobanu (2009), exp15;Sorek;Ceobanu;;;;;;2009;444;583;0.09;1027;State;3;6;4;2;0.04454168;0.044571171;0.044571171;1027;0.044571171;0.044571171;0.000976563;
Sorek & Ceobanu (2009), exp16;Sorek;Ceobanu;;;;;;2009;458;500;-0.15;958;State;3;6;4;2;-0.07471844;-0.074857955;-0.074857955;958;-0.074857955;-0.074857955;0.00104712;
Sorek & Ceobanu (2009), exp17;Sorek;Ceobanu;;;;;;2009;479;552;-0.11;1031;State;3;6;4;2;-0.054779583;-0.054834476;-0.054834476;1031;-0.054834476;-0.054834476;0.000972763;
Sorek & Ceobanu (2009), exp18;Sorek;Ceobanu;;;;;;2009;486;486;0.03;972;State;3;6;4;2;0.014998313;0.014999438;0.014999438;972;0.014999438;0.014999438;0.001031992;
Sorek & Ceobanu (2009), exp19;Sorek;Ceobanu;;;;;;2009;527;670;0.21;1197;State;3;6;4;2;0.103686139;0.104060125;0.104060125;1197;0.104060125;0.104060125;0.000837521;
Sorek & Ceobanu (2009), exp2;Sorek;Ceobanu;;;;;;2009;484;461;0.04;945;State;3;6;4;1;0.01999008;0.019992744;0.019992744;945;0.019992744;0.019992744;0.001061571;
Sorek & Ceobanu (2009), exp20;Sorek;Ceobanu;;;;;;2009;528;656;-0.07;1184;State;3;6;4;2;-0.034773826;-0.034787853;-0.034787853;1184;-0.034787853;-0.034787853;0.00084674;
Sorek & Ceobanu (2009), exp21;Sorek;Ceobanu;;;;;;2009;534;513;0.01;1047;State;3;6;4;2;0.004998932;0.004998973;0.004998973;1047;0.004998973;0.004998973;0.000957854;
Sorek & Ceobanu (2009), exp22;Sorek;Ceobanu;;;;;;2009;557;598;0;1155;State;3;6;4;2;0;0;0;1155;0;0;0.000868056;
Sorek & Ceobanu (2009), exp23;Sorek;Ceobanu;;;;;;2009;577;651;0.07;1228;State;3;6;4;2;0.034915092;0.034929291;0.034929291;1228;0.034929291;0.034929291;0.000816327;
Sorek & Ceobanu (2009), exp24;Sorek;Ceobanu;;;;;;2009;584;606;-0.07;1190;State;3;6;4;2;-0.034972611;-0.03498688;-0.03498688;1190;-0.03498688;-0.03498688;0.00084246;
Sorek & Ceobanu (2009), exp25;Sorek;Ceobanu;;;;;;2009;589;880;-0.12;1469;State;3;6;4;2;-0.05870954;-0.058777133;-0.058777133;1469;-0.058777133;-0.058777133;0.000682128;
Sorek & Ceobanu (2009), exp26;Sorek;Ceobanu;;;;;;2009;599;587;0.11;1186;State;3;6;4;2;0.054914198;0.054969497;0.054969497;1186;0.054969497;0.054969497;0.000845309;
Sorek & Ceobanu (2009), exp27;Sorek;Ceobanu;;;;;;2009;632;513;0.2;1145;State;3;6;4;2;0.098970159;0.099295212;0.099295212;1145;0.099295212;0.099295212;0.000875657;
Sorek & Ceobanu (2009), exp28;Sorek;Ceobanu;;;;;;2009;654;697;0.04;1351;State;3;6;4;2;0.019985874;0.019988536;0.019988536;1351;0.019988536;0.019988536;0.00074184;
Sorek & Ceobanu (2009), exp29;Sorek;Ceobanu;;;;;;2009;762;665;-0.1;1427;State;3;6;4;2;-0.0498224;-0.049863686;-0.049863686;1427;-0.049863686;-0.049863686;0.000702247;
Sorek & Ceobanu (2009), exp3;Sorek;Ceobanu;;;;;;2009;512;520;0.04;1032;State;3;6;4;1;0.019995401;0.019998066;0.019998066;1032;0.019998066;0.019998066;0.000971817;
