"study";"a1";"a2";"a3";"a4";"a5";"a6";"a7";"yop";"n1";"n2";"g";"rank";"domain";"age";"n";"id";"nnew";"effest.exp";"effestnew.exp";"ncnew";"ntnew";"d.o";"d.c";"vd.o";"vd.c";"vg.o";"vg.c"
"Lazonder & van der Meij (1995)";"Lazonder";"Vandermeij";"";"";"";NA;NA;1995;25;25;-0.44;0;"computer";"adults";50;2;50;-0.44;-0.44;25;25;-0.447021276595745;-0.447021276595745;0.07999974422095;0.07999974422095;0.0775063994886449;0.0775063994886449
"Lee & Thompson (1997)";"Lee";"Thompson";"";"";"";NA;NA;1997;66;64;-0.92;0;"computer";"adults";130;2;130;-0.92;-0.92;66;64;-0.925433070866142;-0.925433070866142;0.0307692067805553;0.0307692067805553;0.0304089850246331;0.0304089850246331
"Leutner (1993), exp 1";"Leutner";"";"";"";"";NA;NA;1993;16;16;-0.09;0;"problem";"adolescents";32;2;32;-0.09;-0.088071294;16;16;-0.0923275862068965;-0.0903489998793103;0.124999934964151;0.124999934964151;0.118776860735656;0.118776860735656
"Leutner (1993), exp 2";"Leutner";"";"";"";"";NA;NA;1993;19;19;-0.36;0;"problem";"adults";38;2;38;-0.36;-0.36;19;19;-0.367714285714286;-0.367714285714286;0.1052626391252;0.1052626391252;0.100892353017454;0.100892353017454
"Leutner (1993), exp 3";"Leutner";"";"";"";"";NA;NA;1993;20;20;-0.38;0;"problem";"adolescents";40;2;40;-0.38;-0.38;20;20;-0.387702702702703;-0.387702702702703;0.0999995302728762;0.0999995302728762;0.0960655107713293;0.0960655107713293
"McDaniel & Pressley (1984), exp 1";"McDaniel";"Pressley";"";"";"";NA;NA;1984;16.6;17.6;-1.21;1;"verbal";"adults";34.2;2;34.2;-1.21;-1.21;16.6;17.6;-1.23908653846154;-1.23908653846154;0.116950086825628;0.116950086825628;0.111523916251713;0.111523916251713
"McDaniel & Pressley (1984), exp 2";"McDaniel";"Pressley";"";"";"";NA;NA;1984;21;21;-1.06;1;"verbal";"adults";42;2;42;-1.06;-1.842677496;21;21;-1.08038461538462;-1.87811360169231;0.095235094445885;0.095235094445885;0.0916752208549922;0.0916752208549922
"McDaniel & Schlager (1990), exp 1";"McDaniel";"Schlager";"";"";"";NA;NA;1990;31;29.5;0;0;"problem";"adults";60.5;2;60.5;0;0;31;29.5;0;0;0.0661157024793388;0.0661157024793388;0.064424112825011;0.064424112825011
"McDaniel & Schlager (1990), exp 2";"McDaniel";"Schlager";"";"";"";NA;NA;1990;60;60;0.42;0;"problem";"adults";120;2;120;0.42;0.421462987;60;60;0.422692307692308;0.424164672814103;0.0333333264402488;0.0333333264402488;0.0329100503975778;0.0329100503975778
"Messer et al. (1993), exp 1";"Messer";"Joiner";"Loveridge";"Light";"Litteleton";NA;NA;1993;14;13;0.32;0;"science";"children";27;2;27;0.32;0.32;14;13;0.33;0.33;0.148146508849788;0.148146508849788;0.139303971590618;0.139303971590618
"Messer et al. (1993), exp 2";"Messer";"Joiner";"Loveridge";"Light";"Litteleton";NA;NA;1993;18;20;-1.14;0;"science";"children";38;2;38;-1.14;-1.14;18;20;-1.16442857142857;-1.16442857142857;0.105257956020547;0.105257956020547;0.100887864345578;0.100887864345578
"Messer, Mohamedali, & Fletcher (1996)";"Messer";"Mohamedali";"Fletcher";"";"";NA;NA;1996;21;20;0.34;0;"problem";"children";41;2;41;0.34;0.34;21;20;0.34671052631579;0.34671052631579;0.0975606352900483;0.0975606352900483;0.09382064173741;0.09382064173741
"Messer, Norgate et al. (1996), exp 1";"Messer";"Norgate";"Joiner";"Littleton";"Light";NA;NA;1996;11.75;10.5;-0.89;0;"science";"children";22.25;2;22.25;-0.89;-0.89;11.75;10.5;-0.924675324675325;-0.924675324675325;0.179747375961919;0.179747375961919;0.166519092512221;0.166519092512221
"Messer, Norgate et al. (1996), exp 2";"Messer";"Norgate";"Joiner";"Littleton";"Light";NA;NA;1996;16;15;0.43;0;"science";"children";31;2;31;0.43;0.43;16;15;0.441517857142857;0.441517857142857;0.129030569436173;0.129030569436173;0.122386348809629;0.122386348809629
"Morton et al. (2003), exp 2";"Morton";"Trehub";"Zelazo";"";"";NA;NA;2003;15.29;16.14;-2.19;1;"verbal";"children";31.43;2;31.43;-2.19;-2.19;15.29;16.14;-2.24777347871966;-2.24777347871966;0.127225535177345;0.127225535177345;0.12076954516384;0.12076954516384
"Mwangi & Sweller (1998), exp 1";"Mwangi";"Sweller";"";"";"";NA;NA;1998;9;9;-0.46;0;"math";"children";18;2;18;-0.46;-0.46;9;9;-0.483;-0.483;0.222204445180792;0.222204445180792;0.201545982023394;0.201545982023394
"Nadolski et al. (2005)";"Nadolski";"Kirschner";"van Merrienboer";"";"";NA;NA;2005;11;12;0.09;0;"problem";"adults";23;2;23;0.09;0.09;11;12;0.093375;0.093375;0.173912794225917;0.173912794225917;0.161567989990691;0.161567989990691
"OBrien & Shapiro (1977)";"Obrien";"Shapiro";"";"";"";NA;NA;1977;15;15;-0.15;0;"math";"adults";30;2;30;-0.15;-0.15;15;15;-0.154166666666667;-0.154166666666667;0.133333098594378;0.133333098594378;0.126223298596284;0.126223298596284
"Paas & Van Merrienboer (1994)";"Paas";"Vanmerrienboer";"";"";"";NA;NA;1994;30;30;-0.77;1;"problem";"adults";60;2;60;-0.77;-0.77;30;30;-0.780131578947368;-0.780131578947368;0.0666662909865118;0.0666662909865118;0.0649459431165613;0.0649459431165613
