"study";"a1";"a2";"a3";"a4";"a5";"a6";"a7";"yop";"n";"r";"domain";"criterion";"id";"nnew";"effest.exp";"effestnew.exp";"vr";"vr.o";"vr.c"
"Davis & Kerner";"Davis";"Kerner";"";"";"";NA;NA;1971;41;0.18;"Educ";"Grades";7;41;0.18;0.18;0.023406244;0.023406244;0.023406244
"Davis & Kerner";"Davis";"Kerner";"";"";"";NA;NA;1971;43;0.48;"Educ";"Grades";7;43;0.48;0.48;0.0141020038095238;0.0141020038095238;0.0141020038095238
"Davis & Kerner";"Davis";"Kerner";"";"";"";NA;NA;1971;67;0.26;"Educ";"Grades";7;67;0.26;0.26;0.0131722690909091;0.0131722690909091;0.0131722690909091
"Davis & Kerner";"Davis";"Kerner";"";"";"";NA;NA;1971;80;0.3;"Educ";"Grades";7;80;0.3;0.3;0.0104822784810127;0.0104822784810127;0.0104822784810127
"Davis & Kerner";"Davis";"Kerner";"";"";"";NA;NA;1971;97;0.23;"Educ";"Grades";7;97;0.23;0.23;0.0093437334375;0.0093437334375;0.0093437334375
"Davis & Kerner";"Davis";"Kerner";"";"";"";NA;NA;1971;118;0.08;"Educ";"Grades";7;118;0.08;0.08;0.00843795692307692;0.00843795692307692;0.00843795692307692
"Davis & Kerner";"Davis";"Kerner";"";"";"";NA;NA;1971;187;0.31;"Educ";"Grades";7;187;0.31;0.31;0.00439266241935484;0.00439266241935484;0.00439266241935484
"Davis & Kerner";"Davis";"Kerner";"";"";"";NA;NA;1971;200;0.22;"Educ";"Grades";7;200;0.22;0.22;0.00455046512562814;0.00455046512562814;0.00455046512562814
"Davis & Kerner";"Davis";"Kerner";"";"";"";NA;NA;1971;200;0.31;"Educ";"Grades";7;200;0.31;0.31;0.00410570457286432;0.00410570457286432;0.00410570457286432
"Davis & Kerner";"Davis";"Kerner";"";"";"";NA;NA;1971;301;0.23;"Educ";"Grades";7;301;0.23;0.23;0.0029899947;0.0029899947;0.0029899947
"Davis & Kerner";"Davis";"Kerner";"";"";"";NA;NA;1971;552;0.32;"Educ";"Grades";7;552;0.32;0.321257073;0.00146222460980036;0.00146222460980036;0.00145959943122911
