study;a1;a2;a3;a4;a5;yop;n;r;domain;criterion;z;zexp;nnew;znew;znewexp;vz;newvz
Davis & Kerner;Davis;Kerner;;;;1971;200;0.22;Educ;Grades;0.223656109;0.223656109;200;0.223656109;0.223656109;0.005076142;
Davis & Kerner;Davis;Kerner;;;;1971;200;0.31;Educ;Grades;0.320545409;0.320545409;200;0.320545409;0.320545409;0.005076142;
Davis & Kerner;Davis;Kerner;;;;1971;301;0.23;Educ;Grades;0.234189467;0.234189467;301;0.234189467;0.234189467;0.003355705;
Davis & Kerner;Davis;Kerner;;;;1971;552;0.32;Educ;Grades;0.331647109;0.331647109;552;0.333;0.333;0.001821494;
Distefano et al.;Distefano;Pryer;Craig;;;1976;36;0.43;Employ;Objective;0.459896681;0.459896681;36;0.459896681;0.459896681;0.03030303;
Dittmar;Dittmar;;;;;1977;115;0.49;Educ;Grades;0.536060337;0.536060337;115;0.536060337;0.536060337;0.008928571;
Dittmar;Dittmar;;;;;1983;155;0.35;Educ;Grades;0.365443754;0.365443754;155;0.365443754;0.365443754;0.006578947;
Eliott & Strenta ;Elliott;Strenta;;;;1988;66;0.14;Educ;Grades;0.140925576;0.140925576;66;0.140925576;0.140925576;0.015873016;
Farr et al.;Farr;Oleary;Pfeiffer;Goldstein;Bartlett;1971;51;-0.23;Employ;Subjective;-0.234189467;-0.234189467;51;-0.234;-0.234;0.020833333;
Farr et al.;Farr;Oleary;Pfeiffer;Goldstein;Bartlett;1971;84;0.05;Military;Grades;0.050041729;0.050041729;84;0.050041729;0.050041729;0.012345679;
Farr et al.;Farr;Oleary;Pfeiffer;Goldstein;Bartlett;1971;126;0.46;Educ;Grades;0.497311288;0.497311288;126;0.497311288;0.497311288;0.008130081;
Fox & Lefkowitz;Fox;Lefkowitz;;;;1974;54;0.21;Employ;Composite;0.213171347;0.213171347;54;0.213171347;0.213171347;0.019607843;
Gael et al.;Gael;Grant;Ritchie;;;1975;143;0.54;Employ;Objective;0.604155603;0.604155603;143;0.604155603;0.604155603;0.007142857;
Gael et al.;Gael;Grant;Ritchie;;;1975;501;0.41;Employ;Objective;0.435611223;0.435611223;501;0.435611223;0.435611223;0.002008032;
Gael&Grant;Gael;Grant;;;;1972;106;0.27;Employ;Composite;0.276863823;0.276863823;106;0.276863823;0.276863823;0.009708738;
Gardner & Deadrick;Gardner;Deadrick;;;;2008;237;0.18;Employ;Objective;0.181982689;0.181982689;237;0.181982689;0.181982689;0.004273504;
Goldman & Hewitt;Goldman;Hewitt;;;;1976;272;0.25;Educ;Grades;0.255412812;0.255412812;272;0.255412812;0.255412812;0.003717472;
Grant & Bay;Grant;Bray;;;;1970;211;0.41;Employ;Grades;0.435611223;0.435611223;211;0.435611223;0.435611223;0.004807692;
