"study";"a1";"a2";"a3";"a4";"a5";"a6";"a7";"yop";"n";"g";"id";"nnew";"effest.exp";"effestnew.exp";"d.o";"d.c";"vd.o";"vd.c";"vg.o";"vg.c"
"Willer (2009), exp 1";"Willer";"";"";"";"";"";"";2009;72;0;4;72;0;0;0;0;0.0555555555555556;0.0555555555555556;0.0543672357754911;0.0543672357754911
"Willer (2009), exp 2";"Willer";"";"";"";"";"";"";2009;41;0;4;41;0;0;0;0;0.0975609756097561;0.0975609756097561;0.0938209690109388;0.0938209690109388
"Willer (2009), exp 3";"Willer";"";"";"";"";"";"";2009;97;0;4;97;0;0;0;0;0.0412371134020619;0.0412371134020619;0.0405868668717838;0.0405868668717838
"Willer (2009), exp 4";"Willer";"";"";"";"";"";"";2009;86;0;4;86;0;0;0;0;0.0465116279069767;0.0465116279069767;0.0456823138731887;0.0456823138731887
"Wit & Wilke (1992)";"Wit";"Wilke";"";"";"";"";"";1992;570;0;4;570;0;0;0;0;0.00701754385964912;0.00701754385964912;0.00699901569912594;0.00699901569912594
"Wit & Wilke (1998)";"Wit";"Wilke";"";"";"";"";"";1998;104;0;4;104;0;0;0;0;0.0384615384615385;0.0384615384615385;0.0378966275772173;0.0378966275772173
"Witt & Kerr (2002), exp 1";"Wit";"Kerr";"";"";"";"";"";2002;60;0;4;60;0;0;0;0;0.0666666666666667;0.0666666666666667;0.0649463091021533;0.0649463091021533
"Witt & Kerr (2002), exp 2";"Wit";"Kerr";"";"";"";"";"";2002;120;0;4;120;0;0;0;0;0.0333333333333333;0.0333333333333333;0.032910057203132;0.032910057203132
"Witt & Kerr (2002), exp 3";"Wit";"Kerr";"";"";"";"";"";2002;100;0;4;100;0;0;0;0;0.04;0.04;0.0393885440309783;0.0393885440309783
"Yamagashi & Mifune (2009)";"Yamagishi";"Mifune";"";"";"";"";"";2009;131;-0.21;4;131;-0.21;-0.21;-0.21123046875;-0.21123046875;0.0305343499329955;0.0305343499329955;0.0301796460696962;0.0301796460696962
"Yamagashi (1986)";"Yamagishi";"";"";"";"";"";"";1986;192;0;4;192;0;0;0;0;0.0208333333333333;0.0208333333333333;0.020668968426315;0.020668968426315
"Yamagashi et al. (2005)";"Yamagishi";"Makimura";"Foddy";"Matsuda";"Kiyonari";"Platow";"";2005;106;0;4;106;0;0;0;0;0.0377358490566038;0.0377358490566038;0.037192242486655;0.037192242486655
"Yamagishi et al. (2007)";"Yamagishi";"Terai";"Kiyonari";"Mifune";"Kanazawa";"";"";2007;105;0.77;4;105;0.77;0.77;0.775661764705882;0.775661764705882;0.0380951984968865;0.0380951984968865;0.0375410938994306;0.0375410938994306
