"study";"a1";"a2";"a3";"a4";"a5";"a6";"a7";"yop";"n";"g";"id";"nnew";"effest.exp";"effestnew.exp";"d.o";"d.c";"vd.o";"vd.c";"vg.o";"vg.c"
"Declerck et al. (2010), exp 1";"Declerck";"Boone";"Kiyonari";"";"";"";"";2010;131;-0.1;4;131;-0.1;-0.1;-0.1005859375;-0.1005859375;0.0305343508701985;0.0305343508701985;0.0301796469960122;0.0301796469960122
"Declerck et al. (2010), exp 2";"Declerck";"Boone";"Kiyonari";"";"";"";"";2010;128;-0.15;4;128;-0.15;-0.15;-0.1509;-0.1509;0.031249999321377;0.031249999321377;0.0308783475304999;0.0308783475304999
"Dolbear et al. (1969)";"Dolbear";"Lave";"Bowman";"Lieberman";"Prescott";"Rueter";"Sherman";1969;46;0;4;46;0;0;0;0;0.0869565217391304;0.0869565217391304;0.0840007098491571;0.0840007098491571
"Drouvelis et al. (2010)";"Drouvelis";"Metcalfe";"Powdthavee";"";"";"";"";2010;54;-0.55;4;54;-0.55;-0.55;-0.558088235294118;-0.558088235294118;0.0740737810394322;0.0740737810394322;0.071942273372471;0.071942273372471
"Eek & Biel (2003)";"Eek";"Biel";"";"";"";"";"";2003;68;0;4;68;0;0;0;0;0.0588235294117647;0.0588235294117647;0.057489201639973;0.057489201639973
"Enzle et al. (1992)";"Enzle";"Harvey";"Wright";"";"";"";"";1992;134;0;4;134;0;0;0;0;0.0298507462686567;0.0298507462686567;0.0295118569089389;0.0295118569089389
"Evans & Crumbaugh (1966)";"Evans";"Crumbaugh";"";"";"";"";"";1966;20;0.2;4;20;0.2;0.2;0.208823529411765;0.208823529411765;0.199997819660448;0.199997819660448;0.183453663580621;0.183453663580621
"Farrelly et al. (2007)";"Farrelly";"Lazarus";"Roberts";"";"";"";"";2007;231;0;4;231;0;0;0;0;0.0173160173160173;0.0173160173160173;0.017202655805182;0.017202655805182
"Ferguson & Schmitt (1988)";"Ferguson";"Schmitt";"";"";"";"";"";1988;40;-0.12;4;40;-0.12;-0.12;-0.122432432432432;-0.122432432432432;0.0999999531572078;0.0999999531572078;0.0960659170192308;0.0960659170192308
"Ferrin et al. (2008), exp 1";"Ferrin";"Bligh";"Kohles";"";"";"";"";2008;68;0.1;4;68;0.1;0.1;0.101153846153846;0.101153846153846;0.0588235255833488;0.0588235255833488;0.0574891978983993;0.0574891978983993
"Ferrin et al. (2008), exp 2";"Ferrin";"Bligh";"Kohles";"";"";"";"";2008;68;0.4;4;68;0.4;0.4;0.404615384615385;0.404615384615385;0.0588234681571704;0.0588234681571704;0.0574891417748518;0.0574891417748518
"Fisher & Smith (1969)";"Fisher";"Smith";"";"";"";"";"";1969;120;-0.46;4;120;-0.46;-0.46;-0.462948717948718;-0.462948717948718;0.0333333250647584;0.0333333250647584;0.0329100490395538;0.0329100490395538
"Fleishman (1988)";"Fleishman";"";"";"";"";"";"";1988;170;0;4;170;0;0;0;0;0.0235294117647059;0.0235294117647059;0.0233194849764773;0.0233194849764773
"Fox & Guyer (1978)";"Fox";"Guyer";"";"";"";"";"";1978;80;-0.05;4;80;-0.05;-0.05;-0.050487012987013;-0.050487012987013;0.0499999995021605;0.0499999995021605;0.0490400218439941;0.0490400218439941
"Frank et al. (1993)";"Frank";"Gilovich";"Regan";"";"";"";"";1993;207;-0.52;4;207;-0.52;-0.52;-0.521911764705882;-0.521911764705882;0.0193236703107156;0.0193236703107156;0.0191823642376523;0.0191823642376523
"Fundenberg et al. (2010)";"Fundenberg";"Rand";"Dreber";"";"";"";"";2010;274;-0.4;4;274;-0.4;-0.4;-0.401107011070111;-0.401107011070111;0.0145985399176316;0.0145985399176316;0.0145180703974567;0.0145180703974567
"Gabriel & Gardner (1999), exp 1";"Gabriel";"Gardner";"";"";"";"";"";1999;137;0.25;4;137;0.25;0.25;0.251399253731343;0.251399253731343;0.029197078856694;0.029197078856694;0.028872969483145;0.028872969483145
"Gabriel & Gardner (1999), exp 2";"Gabriel";"Gardner";"";"";"";"";"";1999;137;-0.35;4;137;-0.35;-0.35;-0.351958955223881;-0.351958955223881;0.0291970774788284;0.0291970774788284;0.0288729681205747;0.0288729681205747
"Gallo & Sheposh (1971)?";"Gallo";"Sheposh";"";"";"";"";"";1971;120;0;4;120;0;0;0;0;0.0333333333333333;0.0333333333333333;0.032910057203132;0.032910057203132
"Gallo et al. (1969)";"Gallo";"Funk";"Levine";"";"";"";"";1969;20;0.15;4;20;0.15;0.15;0.156617647058824;0.156617647058824;0.199998773553152;0.199998773553152;0.183454538565716;0.183454538565716
"Garza & Borchert (1990)";"Garza";"Borchert";"";"";"";"";"";1990;84;-0.46;4;84;-0.46;-0.46;-0.464259259259259;-0.464259259259259;0.0476190129857635;0.0476190129857635;0.0467492776252795;0.0467492776252795
"Gillis & Woods (1971)";"Gillis";"Woods";"";"";"";"";"";1971;98;-0.46;4;98;-0.46;-0.46;-0.463631578947368;-0.463631578947368;0.0408163078869381;0.0408163078869381;0.0401793921757859;0.0401793921757859
"Goehring & Kahan (1976)";"Goehring";"Kahan";"";"";"";"";"";1976;60;0.03;4;60;0.03;0.03;0.0303947368421053;0.0303947368421053;0.066666666096395;0.066666666096395;0.0649463085465977;0.0649463085465977
"Granberg & Stevens (1975)";"Granberg";"Stevens";"";"";"";"";"";1975;96;0.3;4;96;0.3;0.3;0.30241935483871;0.30241935483871;0.0416666580522846;0.0416666580522846;0.0410026581895634;0.0410026581895634
"Grant & Sermat (1969)";"Grant";"Sermat";"";"";"";"";"";1969;48;0;4;48;0;0;0;0;0.0833333333333333;0.0833333333333333;0.0806234883095942;0.0806234883095942
"Greig & Bohnet (2009)";"Greig";"Bohnet";"";"";"";"";"";2009;270;0.22;4;270;0.22;0.22;0.22061797752809;0.22061797752809;0.0148148147415464;0.0148148147415464;0.0147319348216512;0.0147319348216512
"Hamburger et al. (1975)?";"Hamburger";"Guyer";"Fox";"";"";"";"";1975;160;0;4;160;0;0;0;0;0.025;0.025;0.0247628471899558;0.0247628471899558
"Hardy & van Vugt (2006)";"Hardy";"Van Vugt";"";"";"";"";"";2006;62;0.49;4;66;0.49;0.466284429;0.496228813559322;0.471835434107143;0.0645159957150262;0.0606059667430073;0.0629065124445318;0.0591883323652124
"Hartman (1974)";"Hartman";"";"";"";"";"";"";1974;128;0.09;4;128;0.09;0.09;0.09054;0.09054;0.0312499997556957;0.0312499997556957;0.0308783479596533;0.0308783479596533
