"study";"a1";"a2";"a3";"a4";"a5";"a6";"a7";"yop";"n";"r";"z";"zexp";"nnew";"znew";"znewexp";"vz";"newvz";"vr"
"Gilmore";"Gilmore";"";"";"";"";"";"";2000;49;0.2;0.202732554054082;0.202732554054082;49;0.202732554;0.202732554;0.0217391304347826;0.0217391304347826;0.0192
"Gloria & Hird";"Gloria";"Hind";"";"";"";"";"";1999;98;0.26;0.266108406873654;0.266108406873654;98;0.266108407;0.266108407;0.0105263157894737;0.0105263157894737;0.00896257484536082
"Gong";"Gong";"";"";"";"";"";"";2007;206;0.53;0.590145159841189;0.590145159841189;206;0.59014516;0.59014516;0.00492610837438424;0.00492610837438424;0.00252246248780488
"Gonzalex";"Gonzalex";"";"";"";"";"";"";2003;141;0.22;0.223656109021832;0.223656109021832;141;0.223656109;0.223656109;0.0072463768115942;0.0072463768115942;0.00646816114285714
"Goodstein&Ponterotto";"Goodstein";"Ponterotto";"";"";"";"";"";1997;126;0.37;0.388423099718296;0.388423099718296;126;0.3884231;0.3884231;0.00813008130081301;0.00813008130081301;0.00595953288
"Gotowiec";"Gotowiec";"";"";"";"";"";"";1999;162;0.31;0.320545409301946;0.320545409301946;162;0.320545409;0.320545409;0.00628930817610063;0.00628930817610063;0.00507475285714286
"Graham";"Graham";"";"";"";"";"";"";2001;54;0.19;0.192337169219545;0.192337169219545;54;0.192337169;0.192337169;0.0196078431372549;0.0196078431372549;0.017530249245283
"Greene";"Greene";"";"";"";"";"";"";1997;189;-0.08;-0.0801713250375897;-0.0801713250375897;189;-0.080171325;-0.080171325;0.00537634408602151;0.00537634408602151;0.00525128170212766
"Harrison";"Harrison";"";"";"";"";"";"";1997;53;0.28;0.287682072451781;0.287682072451781;53;0.287682072;0.287682072;0.02;0.02;0.0163335876923077
"Hazen";"Hazen";"";"";"";"";"";"";1994;80;0.1;0.100335347731076;0.100335347731076;80;0.100335348;0.100335348;0.012987012987013;0.012987012987013;0.012406329113924
"Holmes";"Holmes";"";"";"";"";"";"";2007;157;0.03;0.0300090048631265;0.0300090048631265;157;0.030009005;0.030009005;0.00649350649350649;0.00649350649350649;0.00639872314102564
"Hovey et al.";"Hovey";"Kim";"Seligman";"";"";"";"";2006;133;0.09;0.0902441878561468;0.0902441878561468;133;0.090244188;0.090244188;0.00769230769230769;0.00769230769230769;0.00745352734848485
"Inoue";"Inoue";"";"";"";"";"";"";1997;69;0;0;0;69;0;0;0.0151515151515152;0.0151515151515152;0.0147058823529412
"Iwamoto";"Iwamoto";"";"";"";"";"";"";2007;402;0.27;0.2768638226551;0.2768638226551;402;0.276863823;0.276863823;0.0025062656641604;0.0025062656641604;0.0021434274563591
"Iyer";"Iyer";"";"";"";"";"";"";2000;122;0.07;0.0701146706543252;0.0701146706543252;122;0.070114671;0.070114671;0.00840336134453781;0.00840336134453781;0.00818366950413223
"Jo";"Jo";"";"";"";"";"";"";1998;150;0.16;0.161386696131526;0.161386696131526;150;0.161386696;0.161386696;0.00680272108843537;0.00680272108843537;0.00637218362416107
"Jones";"Jones";"";"";"";"";"";"";1999;135;0.23;0.234189466759367;0.234189466759367;135;0.234189467;0.234189467;0.00757575757575758;0.00757575757575758;0.00669401798507463
"Jones & Galliher";"Jones";"Galliher";"";"";"";"";"";2007;181;0.16;0.161386696131526;0.161386696131526;181;0.161386696;0.161386696;0.00561797752808989;0.00561797752808989;0.005274752
"Joseph";"Joseph";"";"";"";"";"";"";1994;92;0.57;0.647522844827373;0.647522844827373;92;0.647522845;0.647522845;0.0112359550561798;0.0112359550561798;0.00500835175824176
"Juang et al.";"Juang";"Nguyen";"Lin";"";"";"";"";2006;261;0.18;0.181982688600706;0.181982688600706;261;0.181982689;0.181982689;0.00387596899224806;0.00387596899224806;0.00360096061538462
"Kamins";"Kamins";"";"";"";"";"";"";2003;110;-0.05;-0.0500417292784913;-0.0500417292784913;110;-0.050041729;-0.050041729;0.00934579439252336;0.00934579439252336;0.00912849770642202
"Kaneshiro";"Kaneshiro";"";"";"";"";"";"";1996;339;0.05;0.0500417292784913;0.0500417292784913;339;0.050041729;0.050041729;0.00297619047619048;0.00297619047619048;0.00294380547337278
"Kaslow et al.";"Kaslow";"Price";"Wyckoff";"Grall";"Sherry";"Young";"Bethea";2004;200;0.24;0.244774112659353;0.244774112659353;200;0.244774113;0.244774113;0.0050761421319797;0.0050761421319797;0.00446290331658291
"Kauh";"Kauh";"";"";"";"";"";"";2005;120;0.07;0.0701146706543252;0.0701146706543252;120;0.070114671;0.070114671;0.00854700854700855;0.00854700854700855;0.00832121016806723
"Kekwaletswe";"Kekwaletswe";"";"";"";"";"";"";2007;94;0.11;0.110446915790097;0.110446915790097;94;0.110446916;0.110446916;0.010989010989011;0.010989010989011;0.0104940474193548
"Kiang et al.";"Kiang";"Yip";"Gonzales-Backen";"Witkow";"Fuligni";"";"";2006;415;0.13;0.130739850028878;0.130739850028878;415;0.13073985;0.13073985;0.00242718446601942;0.00242718446601942;0.00233450630434783
"Kim";"Kim";"";"";"";"";"";"";2006;112;0.09;0.0902441878561468;0.0902441878561468;112;0.090244188;0.090244188;0.00917431192660551;0.00917431192660551;0.00886365414414414
"Kim & Rew";"Kim";"Rew";"";"";"";"";"";1994;76;0.05;0.0500417292784913;0.0500417292784913;76;0.050041729;0.050041729;0.0136986301369863;0.0136986301369863;0.01326675
"Kim-Bae";"Kim-Bae";"";"";"";"";"";"";1999;121;0.03;0.0300090048631265;0.0300090048631265;121;0.030009005;0.030009005;0.00847457627118644;0.00847457627118644;0.00831834008333333
"Kwan";"Kwan";"";"";"";"";"";"";1996;224;0.28;0.287682072451781;0.287682072451781;224;0.287682072;0.287682072;0.00452488687782805;0.00452488687782805;0.00380872896860987
"Lamborn & Nguyen";"Lamborn";"Nguyen";"";"";"";"";"";2004;158;0.23;0.234189466759367;0.234189466759367;158;0.146029224;0.146029224;0.00645161290322581;0.00645161290322581;0.00571336566878981
"Larson";"Larson";"";"";"";"";"";"";1995;7;0.45;0.484700278594052;0.484700278594052;7;0.484700279;0.484700279;0.25;0.25;0.106001041666667
"Laurent";"Laurent";"";"";"";"";"";"";1997;193;0.41;0.435611223236224;0.435611223236224;193;0.467075482;0.467075482;0.00526315789473684;0.00526315789473684;0.00360446671875
"Lavish";"Lavish";"";"";"";"";"";"";2007;151;0.19;0.192337169219545;0.192337169219545;151;0.192337169;0.192337169;0.00675675675675676;0.00675675675675676;0.0061940214
"Lee";"Lee";"";"";"";"";"";"";2001;217;0.33;0.342828254415394;0.342828254415394;217;0.342828254;0.342828254;0.00467289719626168;0.00467289719626168;0.0036762000462963
"Lee";"Lee";"";"";"";"";"";"";2005;84;0.36;0.37688590118819;0.37688590118819;84;0.361650109;0.361650109;0.0123456790123457;0.0123456790123457;0.00912766457831325
"Lee & Yoo";"Lee";"Yoo";"";"";"";"";"";2004;323;0.23;0.234189466759367;0.234189466759367;323;0.230672783;0.230672783;0.003125;0.003125;0.00278570934782609
"Lewis";"Lewis";"";"";"";"";"";"";1998;100;-0.04;-0.0400213538367682;-0.0400213538367682;100;-0.040021354;-0.040021354;0.0103092783505155;0.0103092783505155;0.0100687127272727
"Lewis";"Lewis";"";"";"";"";"";"";1997;85;0.24;0.244774112659353;0.244774112659353;85;0.244774113;0.244774113;0.0121951219512195;0.0121951219512195;0.0105728304761905
"Lopez";"Lopez";"";"";"";"";"";"";2005;73;0.41;0.435611223236224;0.435611223236224;73;0.435611223;0.435611223;0.0142857142857143;0.0142857142857143;0.00961191125
"Lorendo-Hernandez & Ouellete";"Lorendo-Hernandez";"Ouellette";"";"";"";"";"";1998;206;0.46;0.497311287572031;0.497311287572031;203;0.497311288;0.497311288;0.00492610837438424;0.005;0.00303207102439024
"McCubbin";"McCubbin";"";"";"";"";"";"";2003;243;0.19;0.192337169219545;0.192337169219545;243;0.192337169;0.192337169;0.00416666666666667;0.00416666666666667;0.00383926946280992
"McDuffie";"McDuffie";"";"";"";"";"";"";1997;188;0.28;0.287682072451781;0.287682072451781;188;0.287682072;0.287682072;0.00540540540540541;0.00540540540540541;0.00454196021390374
"McKnight";"McKnight";"";"";"";"";"";"";2003;105;0.11;0.110446915790097;0.110446915790097;105;0.110446916;0.110446916;0.00980392156862745;0.00980392156862745;0.00938410009615385
"McMahon & Watts";"McMahon";"Watts";"";"";"";"";"";2002;117;0.22;0.223656109021832;0.223656109021832;117;0.223656109;0.223656109;0.0087719298245614;0.0087719298245614;0.00780640137931034
"Mohanty et al";"Mohanty";"Keokse";"Sales";"";"";"";"";2006;78;0.33;0.342828254415394;0.342828254415394;78;0.342828254;0.342828254;0.0133333333333333;0.0133333333333333;0.0103124572727273
"Mukoyama";"Mukoyama";"";"";"";"";"";"";1998;86;0.36;0.37688590118819;0.37688590118819;86;0.376885901;0.376885901;0.0120481927710843;0.0120481927710843;0.008912896
"Nagara";"Nagara";"";"";"";"";"";"";2005;253;0.02;0.0200026673068496;0.0200026673068496;253;0.020002667;0.020002667;0.004;0.004;0.00396508
"Negy et al.";"Negy";"Shreve";"Jensen";"Uddin";"";"";"";2003;124;0.17;0.171666663500579;0.171666663500579;124;0.171666664;0.171666664;0.00826446280991736;0.00826446280991736;0.00766695292682927
"Newman et al.";"Newman";"Sontag";"Salvato";"";"";"";"";2006;134;0.15;0.151140435936467;0.151140435936467;134;0.151140436;0.151140436;0.00763358778625954;0.00763358778625954;0.00718425751879699
