"id";"study";"g";"r";"d";"z";"type"
4;"Oskamp & Kleinke (1970)";0.57;NA;NA;NA;"o"
4;"Oskamp & Perlaman (1965)";1.18;NA;NA;NA;"o"
4;"Pruitt (1967)";0.69;NA;NA;NA;"o"
4;"Rapoport & Chammah (1965)";0.57;NA;NA;NA;"o"
4;"Rooney et al. (2005)";-0.2;NA;NA;NA;"o"
4;"Ruffle & Sosis (2007)";0.23;NA;NA;NA;"o"
4;"Seguino et al. (1996)";-0.51;NA;NA;NA;"o"
4;"Sell & Wilson (2001)";0.49;NA;NA;NA;"o"
4;"Sell (1997), exp 3";0.47;NA;NA;NA;"o"
4;"Sell et al. (1993), exp 6";0.7;NA;NA;NA;"o"
4;"Sell et al. (1993), exp 7";0.98;NA;NA;NA;"o"
4;"Shomer et al. (1966)";0.6;NA;NA;NA;"o"
4;"Sibley et al. (1968)";-0.84;NA;NA;NA;"o"
4;"Skotko et al. (1974)";0.36;NA;NA;NA;"o"
4;"Smith et al. (1975)";-0.5;NA;NA;NA;"o"
4;"Solow & Krikwood (2002)";0.47;NA;NA;NA;"o"
4;"Steele & Tedeschi (1967), exp 1";0.75;NA;NA;NA;"o"
4;"Tedeschi et al. (1969)";-0.68;NA;NA;NA;"o"
4;"Tedeschi et al. (1970)";-0.92;NA;NA;NA;"o"
4;"Van Vugt et al. (2007), exp 13";-0.57;NA;NA;NA;"o"
4;"Vinacke et al. (1974)";-0.74;NA;NA;NA;"o"
4;"Yamagishi et al. (2007)";0.77;NA;NA;NA;"o"
6;"Ferris (2008), exp 1";NA;0.55;NA;NA;"o"
6;"Hung et al. (2009)";NA;0.24;NA;NA;"o"
6;"Jones (2004)";NA;0.16;NA;NA;"o"
6;"Judge et al. (2006a)";NA;0.2;NA;NA;"o"
6;"Kessler et al. (2009)";NA;0.72;NA;NA;"o"
6;"Kidwell & Bennett (2001)";NA;0.15;NA;NA;"o"
6;"OBrien & Loch (2005)";NA;0.22;NA;NA;"o"
6;"Penney & Spector (2005)";NA;0.24;NA;NA;"o"
6;"Richards & Schat (2011)";NA;0.72;NA;NA;"o"
6;"Tubre  et al. (2006)";NA;0.14;NA;NA;"o"
7;"Berry & Sackett (2008b)";NA;0.8;NA;NA;"o"
7;"Berry & Sackett (2008b)";NA;0.59;NA;NA;"o"
7;"Berry & Sackett (2008b)";NA;0.56;NA;NA;"o"
7;"Berry & Sackett (2008b)";NA;0.55;NA;NA;"o"
7;"Berry & Sackett (2008b)";NA;0.53;NA;NA;"o"
7;"Berry & Sackett (2008b)";NA;0.5;NA;NA;"o"
7;"Berry & Sackett (2008b)";NA;0.53;NA;NA;"o"
7;"Berry & Sackett (2008b)";NA;0.04;NA;NA;"o"
7;"Berry & Sackett (2008b)";NA;0.1;NA;NA;"o"
7;"Berry & Sackett (2008b)";NA;0.39;NA;NA;"o"
7;"Berry & Sackett (2008b)";NA;0.03;NA;NA;"o"
7;"Berry & Sackett (2008b)";NA;0.41;NA;NA;"o"
7;"Berry & Sackett (2008b)";NA;0.36;NA;NA;"o"
7;"Berry & Sackett (2008b)";NA;0.33;NA;NA;"o"
7;"Berry & Sackett (2008b)";NA;0.47;NA;NA;"o"
7;"Berry & Sackett (2008b)";NA;0.38;NA;NA;"o"
7;"Breland & Griswold";NA;0.42;NA;NA;"o"
