"id";"study";"g";"r";"d";"z";"type"
4;"Hottes & Kahn (1974)";0.86;NA;NA;NA;"o"
4;"Hu & Liu (2003)";-0.47;NA;NA;NA;"o"
4;"James et al. (2001)";-1.17;NA;NA;NA;"o"
4;"Kamas et al. (2008)";-0.62;NA;NA;NA;"o"
4;"Kennelly & Fantino (2007), exp 1";0.38;NA;NA;NA;"o"
4;"Kennelly & Fantino (2007), exp 2";0.36;NA;NA;NA;"o"
4;"Komorita (1965), exp 1";0.73;NA;NA;NA;"o"
4;"Kortenkamp & Moore (2006)";-0.65;NA;NA;NA;"o"
4;"Kummerli et al. (2007)";-1.04;NA;NA;NA;"o"
4;"Kurzban & Houser (2001)";0.47;NA;NA;NA;"o"
4;"Liebrand & Van Run (1985)";-0.31;NA;NA;NA;"o"
4;"Liebrand (1984), exp 1";-0.36;NA;NA;NA;"o"
4;"Liebrand (1984), exp 2";-0.62;NA;NA;NA;"o"
4;"Mack et al. (1971)";0.78;NA;NA;NA;"o"
4;"Mack et al. (1979)";-1.75;NA;NA;NA;"o"
4;"Marwell et al. (1971), exp 1";0.75;NA;NA;NA;"o"
4;"Marwell et al. (1971), exp 2";1.65;NA;NA;NA;"o"
4;"Meeker (1984)";1.3;NA;NA;NA;"o"
4;"Meier (2005)";0.27;NA;NA;NA;"o"
4;"Miller & Pyke (1973)";-0.6;NA;NA;NA;"o"
4;"Mulder et al. (2006a), exp 2";0.53;NA;NA;NA;"o"
4;"Nowell & Tinkler (1994)";-0.75;NA;NA;NA;"o"
4;"Oskamp & Kleinke (1970)";0.57;NA;NA;NA;"o"
4;"Oskamp & Perlaman (1965)";1.18;NA;NA;NA;"o"
4;"Pruitt (1967)";0.69;NA;NA;NA;"o"
4;"Rapoport & Chammah (1965)";0.57;NA;NA;NA;"o"
4;"Rooney et al. (2005)";-0.2;NA;NA;NA;"o"
4;"Ruffle & Sosis (2007)";0.23;NA;NA;NA;"o"
4;"Seguino et al. (1996)";-0.51;NA;NA;NA;"o"
4;"Sell & Wilson (2001)";0.49;NA;NA;NA;"o"
4;"Sell (1997), exp 3";0.47;NA;NA;NA;"o"
4;"Sell et al. (1993), exp 6";0.7;NA;NA;NA;"o"
4;"Sell et al. (1993), exp 7";0.98;NA;NA;NA;"o"
4;"Shomer et al. (1966)";0.6;NA;NA;NA;"o"
4;"Sibley et al. (1968)";-0.84;NA;NA;NA;"o"
4;"Skotko et al. (1974)";0.36;NA;NA;NA;"o"
4;"Smith et al. (1975)";-0.5;NA;NA;NA;"o"
4;"Solow & Krikwood (2002)";0.47;NA;NA;NA;"o"
4;"Steele & Tedeschi (1967), exp 1";0.75;NA;NA;NA;"o"
4;"Tedeschi et al. (1969)";-0.68;NA;NA;NA;"o"
4;"Tedeschi et al. (1970)";-0.92;NA;NA;NA;"o"
4;"Van Vugt et al. (2007), exp 13";-0.57;NA;NA;NA;"o"
4;"Vinacke et al. (1974)";-0.74;NA;NA;NA;"o"
4;"Yamagishi et al. (2007)";0.77;NA;NA;NA;"o"
5;"Banks (1998)";0.04;NA;NA;NA;"r"
5;"Banks, Hogue, Timberlake & Liddle (1996)";0.06;NA;NA;NA;"r"
5;"Bass (2000) ";0.67;NA;NA;NA;"r"
5;"Bradley et al. (2006) ";0.32;NA;NA;NA;"r"
5;"Costantino & Malgady (1994) ";0.23;NA;NA;NA;"r"
5;"Costantino, Malgady, & Rogler (1986), exp 1";0.68;NA;NA;NA;"r"
5;"Costantino, Malgady, & Rogler (1986), exp 2";0.08;NA;NA;NA;"r"
5;"Feske (2008)";0.91;NA;NA;NA;"r"
5;"Flicker (2008) ";0.48;NA;NA;NA;"r"
5;"Grodnitzky (1993) ";0.17;NA;NA;NA;"r"
5;"Huey & Pan (2006) ";0.93;NA;NA;NA;"r"
5;"Kohn, Oden, Munoz, Robinson, & Leavitt (2002) ";0.21;NA;NA;NA;"r"
5;"Mausbach (2008) ";0.58;NA;NA;NA;"r"
5;"McCabe & Yeh (2009), exp 1";0.26;NA;NA;NA;"r"
5;"McCabe & Yeh (2009), exp 2";0.41;NA;NA;NA;"r"
5;"Patterson et al. (2005) ";1.04;NA;NA;NA;"r"
5;"Rossello, Bernal & Rivera-Medina  (1999)";0.53;NA;NA;NA;"r"
5;"Schwarz (1989) ";0.07;NA;NA;NA;"r"
5;"Shin (2004) ";0.66;NA;NA;NA;"r"
5;"Szapocznik et al. (1986) ";0.31;NA;NA;NA;"r"
5;"Tom (1989)";0.46;NA;NA;NA;"r"
6;"Bruk-Lee & Spector (2006)";NA;0.3;NA;NA;"r"
6;"de Jonge & Peeters (2009)";NA;0.46;NA;NA;"r"
6;"Ferris (2007), exp 1";NA;0.42;NA;NA;"r"
6;"Fox et al. (2007)";NA;0.3;NA;NA;"r"
6;"Goh (2007)";NA;0.42;NA;NA;"r"
6;"Lee (2000)";NA;0.33;NA;NA;"r"
6;"Mount et al. (2006)";NA;0.38;NA;NA;"r"
6;"OBrien & Allen (2007)";NA;0.36;NA;NA;"r"
6;"Rotundo (2006)";NA;0.17;NA;NA;"r"
6;"Spector et al. (2010), exp 1";NA;0.48;NA;NA;"r"
6;"Spector et al. (2010), exp 2";NA;0.42;NA;NA;"r"
6;"Ferris (2008), exp 1";NA;0.55;NA;NA;"o"
6;"Hung et al. (2009)";NA;0.24;NA;NA;"o"
6;"Jones (2004)";NA;0.16;NA;NA;"o"
6;"Judge et al. (2006a)";NA;0.2;NA;NA;"o"
6;"Kessler et al. (2009)";NA;0.72;NA;NA;"o"
6;"Kidwell & Bennett (2001)";NA;0.15;NA;NA;"o"
6;"OBrien & Loch (2005)";NA;0.22;NA;NA;"o"
6;"Penney & Spector (2005)";NA;0.24;NA;NA;"o"
6;"Richards & Schat (2011)";NA;0.72;NA;NA;"o"
6;"Tubre  et al. (2006)";NA;0.14;NA;NA;"o"
7;"AACTE (1992)";NA;0.03;NA;NA;"r"
7;"Baggaley (1974)";NA;0.1;NA;NA;"r"
7;"Berry & Sackett (2008b)";NA;0.48;NA;NA;"r"
7;"Berry & Sackett (2008b)";NA;0.56;NA;NA;"r"
7;"Berry & Sackett (2008b)";NA;0.09;NA;NA;"r"
7;"Berry & Sackett (2008b)";NA;0.08;NA;NA;"r"
7;"Berry & Sackett (2008b)";NA;0.35;NA;NA;"r"
7;"Berry & Sackett (2008b)";NA;0.36;NA;NA;"r"
7;"Berry & Sackett (2008b)";NA;0.34;NA;NA;"r"
7;"Berry & Sackett (2008b)";NA;0.41;NA;NA;"r"
7;"Berry & Sackett (2008b)";NA;0.19;NA;NA;"r"
7;"Berry & Sackett (2008b)";NA;0.39;NA;NA;"r"
7;"Berry & Sackett (2008b)";NA;0.34;NA;NA;"r"
7;"Berry & Sackett (2008b)";NA;0.33;NA;NA;"r"
7;"Berry & Sackett (2008b)";NA;0.21;NA;NA;"r"
7;"Berry & Sackett (2008b)";NA;0.36;NA;NA;"r"
7;"Berry & Sackett (2008b)";NA;0.18;NA;NA;"r"
7;"Berry & Sackett (2008b)";NA;0.26;NA;NA;"r"
7;"Berry & Sackett (2008b)";NA;0.28;NA;NA;"r"
7;"Berry & Sackett (2008b)";NA;0.27;NA;NA;"r"
7;"Berry & Sackett (2008b)";NA;0.3;NA;NA;"r"
7;"Berry & Sackett (2008b)";NA;0.33;NA;NA;"r"
7;"Berry & Sackett (2008b)";NA;0.21;NA;NA;"r"
7;"Berry & Sackett (2008b)";NA;0.24;NA;NA;"r"
7;"Berry & Sackett (2008b)";NA;0.26;NA;NA;"r"
7;"Berry & Sackett (2008b)";NA;0.28;NA;NA;"r"
7;"Campbell et al.";NA;0.3;NA;NA;"r"
7;"Campbell et al.";NA;0.24;NA;NA;"r"
7;"Campbell et al.";NA;0.28;NA;NA;"r"
7;"Campbell et al.";NA;0.19;NA;NA;"r"
7;"Cleary (1968)";NA;0.17;NA;NA;"r"
7;"Cleary (1968)";NA;0.29;NA;NA;"r"
7;"Davis & Kerner";NA;0.24;NA;NA;"r"
7;"Davis & Kerner";NA;0.18;NA;NA;"r"
7;"Davis & Kerner";NA;0.48;NA;NA;"r"
7;"Davis & Kerner";NA;0.26;NA;NA;"r"
7;"Davis & Kerner";NA;0.3;NA;NA;"r"
7;"Davis & Kerner";NA;0.23;NA;NA;"r"
7;"Davis & Kerner";NA;0.08;NA;NA;"r"
7;"Davis & Kerner";NA;0.31;NA;NA;"r"
7;"Davis & Kerner";NA;0.22;NA;NA;"r"
7;"Davis & Kerner";NA;0.31;NA;NA;"r"
7;"Davis & Kerner";NA;0.23;NA;NA;"r"
7;"Davis & Kerner";NA;0.32;NA;NA;"r"
7;"Distefano et al.";NA;0.43;NA;NA;"r"
7;"Dittmar";NA;0.35;NA;NA;"r"
7;"Eliott & Strenta ";NA;0.14;NA;NA;"r"
7;"Farr et al.";NA;0.05;NA;NA;"r"
7;"Fox & Lefkowitz";NA;0.21;NA;NA;"r"
7;"Gael&Grant";NA;0.27;NA;NA;"r"
7;"Gardner & Deadrick";NA;0.18;NA;NA;"r"
7;"Goldman & Hewitt";NA;0.25;NA;NA;"r"
7;"Haney et al.";NA;0.21;NA;NA;"r"
7;"Houston & Novick";NA;0.17;NA;NA;"r"
7;"Houston & Novick";NA;0.24;NA;NA;"r"
7;"Houston & Novick";NA;0.16;NA;NA;"r"
7;"Houston & Novick";NA;0.35;NA;NA;"r"
7;"Houston & Novick";NA;0.17;NA;NA;"r"
7;"Houston & Novick";NA;0.27;NA;NA;"r"
7;"Houston & Novick";NA;0.22;NA;NA;"r"
7;"Houston & Novick";NA;0.21;NA;NA;"r"
7;"Kirkpatrick et al.";NA;-0.02;NA;NA;"r"
7;"Kirkpatrick et al.";NA;0.03;NA;NA;"r"
7;"Kirkpatrick et al.";NA;0.12;NA;NA;"r"
7;"Kirkpatrick et al.";NA;0.04;NA;NA;"r"
7;"Kirkpatrick et al.";NA;0.36;NA;NA;"r"
7;"Kirkpatrick et al.";NA;0.3;NA;NA;"r"
7;"Lichtman ";NA;0.23;NA;NA;"r"
7;"Lopez";NA;0.09;NA;NA;"r"
7;"Mattern et al.";NA;0.26;NA;NA;"r"
7;"McCornack";NA;0.29;NA;NA;"r"
7;"McCornack";NA;0.39;NA;NA;"r"
7;"Moffat";NA;0.16;NA;NA;"r"
7;"Noble et al.";NA;0.27;NA;NA;"r"
7;"OLeary et al.";NA;0.13;NA;NA;"r"
7;"OLeary et al.";NA;0.12;NA;NA;"r"
7;"OLeary et al.";NA;0.21;NA;NA;"r"
7;"OLeary et al.";NA;0.13;NA;NA;"r"
7;"OLeary et al.";NA;0.21;NA;NA;"r"
7;"OLeary et al.";NA;-0.04;NA;NA;"r"
7;"OLeary et al.";NA;-0.01;NA;NA;"r"
7;"OLeary et al.";NA;0.19;NA;NA;"r"
7;"OLeary et al.";NA;0.14;NA;NA;"r"
7;"Pandey";NA;0.11;NA;NA;"r"
7;"Patterson et al.";NA;0.25;NA;NA;"r"
7;"Synk & Swarthout";NA;0.11;NA;NA;"r"
7;"Synk & Swarthout";NA;0.19;NA;NA;"r"
7;"Temp";NA;0.41;NA;NA;"r"
7;"Temp";NA;0.08;NA;NA;"r"
7;"Temp";NA;0.18;NA;NA;"r"
7;"Temp";NA;0.15;NA;NA;"r"
7;"Temp";NA;0.07;NA;NA;"r"
7;"Temp";NA;0.06;NA;NA;"r"
7;"Temp";NA;0.26;NA;NA;"r"
7;"Temp";NA;0.27;NA;NA;"r"
7;"Temp";NA;0.39;NA;NA;"r"
7;"Temp";NA;0.25;NA;NA;"r"
7;"Temp";NA;0.15;NA;NA;"r"
7;"Temp";NA;0.3;NA;NA;"r"
7;"Tracey & Sedlacek";NA;0.4;NA;NA;"r"
7;"Tracey & Sedlacek";NA;0.33;NA;NA;"r"
7;"US dep.";NA;0.41;NA;NA;"r"
7;"Valentine";NA;0.1;NA;NA;"r"
7;"Valentine";NA;0.17;NA;NA;"r"
7;"Valentine";NA;0.03;NA;NA;"r"
7;"Valentine";NA;0.12;NA;NA;"r"
7;"Valentine";NA;-0.02;NA;NA;"r"
7;"Valentine";NA;0.28;NA;NA;"r"
7;"Valentine";NA;0.09;NA;NA;"r"
7;"Valentine";NA;0.23;NA;NA;"r"
7;"Valentine";NA;0.37;NA;NA;"r"
7;"Valentine";NA;0.27;NA;NA;"r"
7;"Valentine";NA;0.13;NA;NA;"r"
7;"Valentine";NA;0.18;NA;NA;"r"
7;"Valentine";NA;0.19;NA;NA;"r"
7;"Valentine";NA;0.24;NA;NA;"r"
7;"Valentine";NA;0.18;NA;NA;"r"
7;"Valentine";NA;0.26;NA;NA;"r"
7;"Valentine";NA;0.3;NA;NA;"r"
7;"Valentine";NA;0.12;NA;NA;"r"
7;"Valentine";NA;0.16;NA;NA;"r"
7;"Valentine";NA;0.24;NA;NA;"r"
7;"Valentine";NA;0.21;NA;NA;"r"
7;"Valentine";NA;0.32;NA;NA;"r"
7;"Valentine";NA;0.24;NA;NA;"r"
7;"Valentine";NA;0.18;NA;NA;"r"
7;"Valentine";NA;0.21;NA;NA;"r"
7;"Valentine";NA;0.24;NA;NA;"r"
7;"Valentine";NA;0.2;NA;NA;"r"
7;"Wightman";NA;0.31;NA;NA;"r"
7;"Wightman";NA;0.15;NA;NA;"r"
7;"Wightman";NA;0.22;NA;NA;"r"
7;"Wightman";NA;0.32;NA;NA;"r"
7;"Wightman";NA;0.28;NA;NA;"r"
7;"Wightman";NA;0.19;NA;NA;"r"
7;"Wightman & Muller";NA;0.17;NA;NA;"r"
7;"Wightman & Muller";NA;0.5;NA;NA;"r"
7;"Wightman & Muller";NA;0.23;NA;NA;"r"
7;"Wightman & Muller";NA;0.1;NA;NA;"r"
7;"Wightman & Muller";NA;0.43;NA;NA;"r"
7;"Wightman & Muller";NA;0.12;NA;NA;"r"
7;"Wightman & Muller";NA;0.2;NA;NA;"r"
7;"Wightman & Muller";NA;-0.07;NA;NA;"r"
7;"Wightman & Muller";NA;0.32;NA;NA;"r"
7;"Wightman & Muller";NA;0.32;NA;NA;"r"
7;"Wightman & Muller";NA;0.18;NA;NA;"r"
7;"Wightman & Muller";NA;0.47;NA;NA;"r"
7;"Wightman & Muller";NA;0.06;NA;NA;"r"
7;"Wightman & Muller";NA;0.38;NA;NA;"r"
7;"Wightman & Muller";NA;0.27;NA;NA;"r"
7;"Wightman & Muller";NA;0.46;NA;NA;"r"
7;"Wightman & Muller";NA;0.33;NA;NA;"r"
7;"Wightman & Muller";NA;0.35;NA;NA;"r"
7;"Wightman & Muller";NA;0.15;NA;NA;"r"
7;"Wightman & Muller";NA;0.25;NA;NA;"r"
7;"Wightman & Muller";NA;0.35;NA;NA;"r"
7;"Wightman & Muller";NA;0.26;NA;NA;"r"
7;"Wightman & Muller";NA;0.3;NA;NA;"r"
7;"Wightman & Muller";NA;0.4;NA;NA;"r"
7;"Wightman & Muller";NA;0.36;NA;NA;"r"
7;"Wightman & Muller";NA;0.1;NA;NA;"r"
7;"Wightman & Muller";NA;0.13;NA;NA;"r"
7;"Wightman & Muller";NA;0.29;NA;NA;"r"
7;"Wightman & Muller";NA;0.36;NA;NA;"r"
7;"Wightman & Muller";NA;0.3;NA;NA;"r"
7;"Wightman & Muller";NA;0.25;NA;NA;"r"
7;"Wightman & Muller";NA;0.34;NA;NA;"r"
7;"Wightman & Muller";NA;0.07;NA;NA;"r"
7;"Wightman & Muller";NA;0.18;NA;NA;"r"
7;"Wightman & Muller";NA;0.35;NA;NA;"r"
7;"Wightman & Muller";NA;0.43;NA;NA;"r"
7;"Wightman & Muller";NA;0.37;NA;NA;"r"
7;"Wightman & Muller";NA;0.27;NA;NA;"r"
7;"Wightman & Muller";NA;0.12;NA;NA;"r"
7;"Wightman & Muller";NA;0.29;NA;NA;"r"
7;"Wilbourn et al.";NA;0.23;NA;NA;"r"
7;"Wilbourn et al.";NA;0.33;NA;NA;"r"
7;"Wilbourn et al.";NA;0.02;NA;NA;"r"
7;"Wilbourn et al.";NA;0.06;NA;NA;"r"
7;"Wilbourn et al.";NA;0.15;NA;NA;"r"
7;"Wilbourn et al.";NA;0.5;NA;NA;"r"
7;"Wilbourn et al.";NA;0.13;NA;NA;"r"
7;"Wilbourn et al.";NA;0.26;NA;NA;"r"
7;"Wilbourn et al.";NA;0.47;NA;NA;"r"
7;"Wilbourn et al.";NA;0.31;NA;NA;"r"
7;"Wilbourn et al.";NA;0.22;NA;NA;"r"
7;"Wilbourn et al.";NA;0.13;NA;NA;"r"
7;"Wilbourn et al.";NA;0.16;NA;NA;"r"
7;"Wilbourn et al.";NA;0.03;NA;NA;"r"
7;"Wilbourn et al.";NA;0.04;NA;NA;"r"
7;"Wilbourn et al.";NA;0.19;NA;NA;"r"
7;"Wilbourn et al.";NA;0.23;NA;NA;"r"
7;"Wilbourn et al.";NA;0.41;NA;NA;"r"
7;"Wilbourn et al.";NA;0.17;NA;NA;"r"
7;"Wilbourn et al.";NA;0.37;NA;NA;"r"
7;"Wilbourn et al.";NA;0.16;NA;NA;"r"
7;"Wilbourn et al.";NA;0.38;NA;NA;"r"
7;"Wilbourn et al.";NA;0.35;NA;NA;"r"
7;"Wilbourn et al.";NA;0.33;NA;NA;"r"
7;"Wilbourn et al.";NA;0.27;NA;NA;"r"
7;"Wilbourn et al.";NA;0.31;NA;NA;"r"
7;"Wilbourn et al.";NA;0.21;NA;NA;"r"
7;"Wilbourn et al.";NA;0.29;NA;NA;"r"
7;"Young 1994";NA;0.16;NA;NA;"r"
7;"Berry & Sackett (2008b)";NA;0.8;NA;NA;"o"
7;"Berry & Sackett (2008b)";NA;0.59;NA;NA;"o"
7;"Berry & Sackett (2008b)";NA;0.56;NA;NA;"o"
7;"Berry & Sackett (2008b)";NA;0.55;NA;NA;"o"
7;"Berry & Sackett (2008b)";NA;0.53;NA;NA;"o"
7;"Berry & Sackett (2008b)";NA;0.5;NA;NA;"o"
7;"Berry & Sackett (2008b)";NA;0.53;NA;NA;"o"
7;"Berry & Sackett (2008b)";NA;0.04;NA;NA;"o"
7;"Berry & Sackett (2008b)";NA;0.1;NA;NA;"o"
7;"Berry & Sackett (2008b)";NA;0.39;NA;NA;"o"
7;"Berry & Sackett (2008b)";NA;0.03;NA;NA;"o"
7;"Berry & Sackett (2008b)";NA;0.41;NA;NA;"o"
7;"Berry & Sackett (2008b)";NA;0.36;NA;NA;"o"
7;"Berry & Sackett (2008b)";NA;0.33;NA;NA;"o"
7;"Berry & Sackett (2008b)";NA;0.47;NA;NA;"o"
7;"Berry & Sackett (2008b)";NA;0.38;NA;NA;"o"
7;"Breland & Griswold";NA;0.42;NA;NA;"o"
7;"Bridgeman et al.";NA;0.37;NA;NA;"o"
7;"Bridgeman et al.";NA;0.36;NA;NA;"o"
7;"Cleary (1968)";NA;0.54;NA;NA;"o"
7;"Crawford et al. (1986)";NA;0.39;NA;NA;"o"
7;"Davis & Kerner";NA;0.64;NA;NA;"o"
7;"Dittmar";NA;0.49;NA;NA;"o"
7;"Farr et al.";NA;-0.23;NA;NA;"o"
7;"Farr et al.";NA;0.46;NA;NA;"o"
7;"Gael et al.";NA;0.54;NA;NA;"o"
7;"Gael et al.";NA;0.41;NA;NA;"o"
7;"Grant & Bay";NA;0.41;NA;NA;"o"
7;"Houston & Novick";NA;0.01;NA;NA;"o"
7;"Kallingal";NA;0.47;NA;NA;"o"
7;"McLaughlin et al.";NA;0.11;NA;NA;"o"
7;"McLaughlin et al.";NA;0.14;NA;NA;"o"
7;"McLaughlin et al.";NA;0.12;NA;NA;"o"
7;"McLaughlin et al.";NA;0.11;NA;NA;"o"
7;"McLaughlin et al.";NA;0.1;NA;NA;"o"
7;"McLaughlin et al.";NA;0.19;NA;NA;"o"
7;"McLaughlin et al.";NA;0.14;NA;NA;"o"
7;"McLaughlin et al.";NA;0.19;NA;NA;"o"
7;"McLaughlin et al.";NA;0.13;NA;NA;"o"
7;"Morgan";NA;0.29;NA;NA;"o"
7;"Morgan";NA;0.3;NA;NA;"o"
7;"Morgan";NA;0.35;NA;NA;"o"
7;"OLeary et al.";NA;-0.16;NA;NA;"o"
7;"Pfeifer & Sedlacek";NA;0.56;NA;NA;"o"
7;"Roberts & Skinner";NA;0.38;NA;NA;"o"
7;"Scott";NA;-0.04;NA;NA;"o"
7;"Synk & Swarthout";NA;-0.01;NA;NA;"o"
7;"Synk & Swarthout";NA;0.12;NA;NA;"o"
7;"Synk & Swarthout";NA;0.15;NA;NA;"o"
7;"Temp";NA;0.51;NA;NA;"o"
7;"Valentine";NA;-0.05;NA;NA;"o"
7;"Valentine";NA;0.45;NA;NA;"o"
7;"Valentine";NA;0.02;NA;NA;"o"
7;"Valentine";NA;-0.02;NA;NA;"o"
7;"Valentine";NA;0.08;NA;NA;"o"
7;"Valentine";NA;0.05;NA;NA;"o"
7;"Valentine";NA;0.13;NA;NA;"o"
7;"Valentine";NA;0.1;NA;NA;"o"
7;"Valentine";NA;0.11;NA;NA;"o"
7;"Valentine";NA;0.19;NA;NA;"o"
7;"Valentine";NA;0.14;NA;NA;"o"
7;"Valentine";NA;0.13;NA;NA;"o"
7;"Wightman & Muller";NA;0.58;NA;NA;"o"
7;"Wightman & Muller";NA;0.71;NA;NA;"o"
7;"Wightman & Muller";NA;0.57;NA;NA;"o"
7;"Wightman & Muller";NA;0.56;NA;NA;"o"
7;"Wightman & Muller";NA;0.65;NA;NA;"o"
7;"Wightman & Muller";NA;0.51;NA;NA;"o"
7;"Wightman & Muller";NA;0.52;NA;NA;"o"
7;"Wightman & Muller";NA;0.48;NA;NA;"o"
7;"Wightman & Muller";NA;0.61;NA;NA;"o"
7;"Wightman & Muller";NA;0.52;NA;NA;"o"
7;"Wightman & Muller";NA;0.42;NA;NA;"o"
7;"Wilbourn et al.";NA;0.72;NA;NA;"o"
7;"Wilbourn et al.";NA;0.59;NA;NA;"o"
7;"Wilbourn et al.";NA;0.5;NA;NA;"o"
7;"Wilbourn et al.";NA;0.47;NA;NA;"o"
7;"Wilbourn et al.";NA;0.38;NA;NA;"o"
7;"Wilbourn et al.";NA;0.41;NA;NA;"o"
8;"Chartrand et al. (2008)";NA;0.04;NA;NA;"r"
8;"Flake et al. (2009)";NA;0.03;NA;NA;"r"
8;"Jensen et al. (1988)";NA;-0.01;NA;NA;"r"
8;"Jensen et al. (1996)";NA;0.05;NA;NA;"r"
8;"Kelley (1994)";NA;-0.05;NA;NA;"r"
8;"Kelley et al. (2001)";NA;0.04;NA;NA;"r"
8;"Lester et al. (2010)";NA;0.03;NA;NA;"r"
8;"Morris & Age (2009)";NA;0.06;NA;NA;"r"
8;"Chandra et al. (2010)";NA;-0.03;NA;NA;"o"
8;"Medway et al. (1995)";NA;0.47;NA;NA;"o"
8;"Nice (1978)";NA;-0.33;NA;NA;"o"
9;"Bae & Lawyer";NA;0.31;NA;NA;"r"
9;"Batjargal";NA;0.16;NA;NA;"r"
9;"Bergh";NA;0.09;NA;NA;"r"
9;"Berman et al";NA;0.19;NA;NA;"r"
9;"Brown et al.";NA;0.28;NA;NA;"r"
9;"Carmeli & Tishler";NA;0.22;NA;NA;"r"
9;"Carpenter et al.";NA;0.11;NA;NA;"r"
9;"Chandler & Lyon";NA;0.19;NA;NA;"r"
9;"Combs & Ketchen";NA;0.06;NA;NA;"r"
9;"De Carolis";NA;0.01;NA;NA;"r"
9;"De Carolis & Deeds";NA;0.14;NA;NA;"r"
9;"De Carolis et al.";NA;0.22;NA;NA;"r"
9;"Etjiraj et al. ";NA;0.1;NA;NA;"r"
9;"Fasci & Valdez";NA;0.13;NA;NA;"r"
9;"Frese et al., exp 2";NA;0.23;NA;NA;"r"
9;"Frese et al., exp 3";NA;0.29;NA;NA;"r"
9;"Garg et al.";NA;0.09;NA;NA;"r"
9;"Harber & Reichel";NA;0.1;NA;NA;"r"
9;"Hatch & Deyer";NA;0.25;NA;NA;"r"
9;"Hitt et al.";NA;0.13;NA;NA;"r"
9;"Hitt et al.";NA;0.16;NA;NA;"r"
9;"Hult & Ketchen";NA;0.21;NA;NA;"r"
9;"Keller";NA;0.3;NA;NA;"r"
9;"Kor";NA;0.26;NA;NA;"r"
9;"Lee & Miller";NA;0.23;NA;NA;"r"
9;"Luneborg & Nielsen";NA;0.15;NA;NA;"r"
9;"Macher & Boerner";NA;-0.06;NA;NA;"r"
9;"Menguc & Barker";NA;0.22;NA;NA;"r"
9;"Miller & Shamsie";NA;0.12;NA;NA;"r"
9;"Nixon et al.";NA;0.18;NA;NA;"r"
9;"Park & Luo";NA;0.33;NA;NA;"r"
9;"Park et al.";NA;0.09;NA;NA;"r"
9;"Ployhart et al. - in press-";NA;0.16;NA;NA;"r"
9;"Powell & Dent-Micallef";NA;0.38;NA;NA;"r"
9;"Roth";NA;0.01;NA;NA;"r"
9;"Simonin";NA;0.23;NA;NA;"r"
9;"Skaggs & Youndt";NA;0.27;NA;NA;"r"
9;"Smith et al.";NA;0.19;NA;NA;"r"
9;"Tanriverdi & Venkatraman";NA;0.12;NA;NA;"r"
9;"Thompson & Heron";NA;0.01;NA;NA;"r"
9;"Tippens & Sohi";NA;0.18;NA;NA;"r"
9;"Van Iddekinge et al.";NA;0.14;NA;NA;"r"
9;"Wang et al.";NA;0.15;NA;NA;"r"
9;"West & Noel";NA;0.19;NA;NA;"r"
9;"Wright et al.";NA;-0.02;NA;NA;"r"
9;"Wright et al.";NA;0.2;NA;NA;"r"
9;"Yeoh";NA;0.3;NA;NA;"r"
9;"Yip et al.";NA;0.2;NA;NA;"r"
9;"Zahra & Nielsen";NA;0.29;NA;NA;"r"
9;"Brush & Chaganti";NA;0.01;NA;NA;"o"
9;"Carmeli";NA;0.4;NA;NA;"o"
9;"Dimov & Shepherd";NA;-0.13;NA;NA;"o"
9;"Edelman et al.";NA;0.01;NA;NA;"o"
9;"Frese et al., exp 1";NA;0.38;NA;NA;"o"
9;"Gong";NA;0.42;NA;NA;"o"
9;"Hmieleski ";NA;0.05;NA;NA;"o"
9;"Huselid et al.";NA;0.06;NA;NA;"o"
9;"Kor & Leblbici";NA;0.56;NA;NA;"o"
9;"Kor & Mahoney";NA;-0.07;NA;NA;"o"
9;"Lee et al.";NA;0.47;NA;NA;"o"
9;"Lopez";NA;0.57;NA;NA;"o"
9;"Manev et al.";NA;0.03;NA;NA;"o"
9;"Ployhart et al.";NA;0.02;NA;NA;"o"
9;"Schlemmer & Web";NA;0.38;NA;NA;"o"
9;"Shrader & Siegel";NA;0.05;NA;NA;"o"
9;"Takeuchi et al.";NA;0.56;NA;NA;"o"
9;"Wright et al.";NA;0.04;NA;NA;"o"
9;"Youndt & Snell";NA;0.35;NA;NA;"o"
10;"Acuna et al.";NA;-0.14;NA;NA;"r"
10;"Amason";NA;-0.38;NA;NA;"r"
10;"Amason & Mooney";NA;-0.37;NA;NA;"r"
10;"Bayazit & Mannix";NA;0.04;NA;NA;"r"
10;"Beersma et al";NA;-0.29;NA;NA;"r"
10;"Bendersky & Hays";NA;-0.08;NA;NA;"r"
10;"Brauckmann";NA;-0.02;NA;NA;"r"
10;"Cursue & Schruijer";NA;-0.2;NA;NA;"r"
10;"De Dreu";NA;0.15;NA;NA;"r"
10;"De Dreu & Van Vianen";NA;0.06;NA;NA;"r"
10;"De Vries";NA;-0.35;NA;NA;"r"
10;"Ensley & Hmieleski";NA;-0.21;NA;NA;"r"
10;"Ensley &et al.";NA;-0.1;NA;NA;"r"
10;"Ensley et al.";NA;-0.12;NA;NA;"r"
10;"Farh et al.";NA;-0.08;NA;NA;"r"
10;"Goncalo et al.";NA;-0.07;NA;NA;"r"
10;"Greer et al. (2009)";NA;0.01;NA;NA;"r"
10;"Greer Mannix";NA;-0.21;NA;NA;"r"
10;"Hinds & Mortensen";NA;-0.12;NA;NA;"r"
10;"Jehn & Mannix";NA;-0.1;NA;NA;"r"
