ma;study;year;type
farber;Coady (1991);1991;article
farber;Green & Herget (1991);1991;article
farber;Keijsers, Hoogduin, & Schaap (1994);1994;article
farber;Litter (2004);2004;article
farber;Williams & Chambless (1990);1990;article
fischer;Pantin & Carver;1982;article
fischer;Ross & Braband;1973;article
fischer;Senneker & Hendrick;1983;article
fischer;Shaffer et al.;1975;article
fischer;Staub;1970;article
fischer;Wilson;1976;article
fox;Biggs et al. (1993);1993;article
fox;Davis et al. (1968)a;1968;article
fox;Gagne & Smith (1962)a;1962;article
fox;Gagne & Smith (1962)a;1962;article
fox;Henry et al. (1989);1989;article
fox;Karpf & Levine (1971);1971;article
fox;Knoblich & Rhenius (1995);1995;article
fox;Reid & Pinard (1985);1985;article
freund;Furnham et al. (2005), Study 2 (1);2005;article
freund;Hodgson & Cramer (1977), exp 5;1977;article
freund;Rammstedt & Rammsayer (2002a), exp 1;2002;article
green;Dearth (2006), exp 1;2006;dissertation
green;Dearth (2006), exp 2;2006;dissertation
green;Farkas (2008);2008;dissertation
green;Landis (1996);1996;dissertation
hallion;Wadlinger (2009) [Dissertation] ;2009;dissertation
koenig;Powell & Butterfield (1989), exp 1;1989;article
koenig;Stoker (2007);2007;article
koenig;Rustemeyer & Thrien (1989), exp 1;1989;article
koenig;Powell (1992), exp 1;1992;article
koenig;Powell (1992), exp 2;1992;article
koenig;Williams (1989), exp 1;1989;dissertation
kolden;Althay (1973/1974);1974;dissertation
kolden;Fuertes et al.;2007;article
kolden;Rothman;2007;dissertation
kolden;Truax (1971);1971;article
kolden;Truax (1971);1971;article
kolden;Truax (1971);1971;article
morgan;Colosetti;1997;article
morgan;Feldman;1982;article
morgan;Kinzie et al.;1996;article
morgan;Storms;2001;dissertation
morgan;Thaut ;1989;article
morgan;Zaylor et al.;2001;article
piet;Kingston et al.;2012;manuscript submitted for publication
smith;Bacho;1997;unpublished doctoral dissertation
smith;Barry;2000;unpublished doctoral dissertation
smith;Basurto;1995;unpublished doctoral dissertation
smith;Bhargava;2007;unpublished doctoral dissertation
smith;Bruner;2004;unpublished doctoral dissertation
smith;Chang;1999;unpublished doctoral dissertation
smith;Chapell;1999;unpublished doctoral dissertation
smith;Charlot-Swilley;1997;unpublished doctoral dissertation
smith;Chatman;2006;unpublished doctoral dissertation
smith;Do;2006;unpublished doctoral dissertation
smith;Douglas;2004;unpublished doctoral dissertation
smith;Gilmore;2000;unpublished doctoral dissertation
smith;Goodstein&Ponterotto;1997;article
smith;Greene;1997;unpublished doctoral dissertation
smith;Larson;1995;unpublished doctoral dissertation
smith;Lewis;1997;unpublished doctoral dissertation
smith;Lopez;2005;unpublished doctoral dissertation
smith;Perez;1998;unpublished doctoral dissertation
smith;Phillips;1994;unpublished doctoral dissertation
smith;Saavedra;1994;unpublished doctoral dissertation
smith;Setty;2006;unpublished doctoral dissertation
smith;Smith;2003;unpublished doctoral dissertation
smith;Susberry;2004;unpublished doctoral dissertation
smith;Vuong;2004;unpublished doctoral dissertation
smith;Wallen;2001;unpublished doctoral dissertation
smith;Ware;2006;unpublished doctoral dissertation
smith;West;2004;unpublished doctoral dissertation
toosi;Grossman (1996);1996;dissertation
toosi;Heider & Skowronski (2007);2007;article
toosi;Heider & Skowronski (2010);2010;unpublished manuscript
toosi;Townsend et al.;2010;unpublished manuscript
toosi;Vorauer & Turpie;2004;article
toosi;Winslow ;1998;dissertation
vaniddekinge;Clark, exp 1;1961;book
vaniddekinge;Clark, exp 2;1961;book
vaniddekinge;Clark, exp 3;1961;book
vaniddekinge;McCullah, exp 1;1969;unpublished doctoral dissertation
vaniddekinge;McCullah, exp 2;1969;unpublished doctoral dissertation
vaniddekinge;Spaulding;1980;unpublished master thesis
vaniddekinge;Spies 1965;1965;unpublished doctoral dissertation
woodley;Brown, Ross, Figueredo, Young, & G. Miller (2010);2010;paper presented at conference
woodley;Figueredo, MacDonald, Wenner, & Howrigan (2007) ;2007;paper presented at conference
woodley;MacDonald, Figueredo, & Wenner (2007) ;2007;paper presented at conference
woodley;MacDonald, Vasquez, & Figueredo (2006) ;2006;paper presented at conference
woodley;Ross & Figueredo (2009) ;2009;paper presented at conference
woodley;Wenner, Figueredo, Rushton, & Jacobs (2007) ;2007;paper presented at conference
yoon;Gonza´lez et al. (1997);1997;article
